word,kind,note
at,unit,the Lao currency subunit; also a preposition and the letter-name band
dec,unit,declination
eq,unit,equivalent
ft,unit,foot
fu,unit,flux unit
g,unit,gram
gt,unit,gutta - a drop in prescriptions
h,unit,the Planck constant symbol
hr,unit,hour
in,unit,inch; also a preposition
kc,unit,kilocycles per second
lb,unit,pound
m,unit,metre
mig,unit,milligram
min,unit,minute
mins,unit,plural of the minute abbreviation
ml,unit,millilitre
mm,unit,millimetre
mo,unit,moment
ms,unit,manuscript
ng,unit,nanogram
pct,unit,percent
s,unit,second
sec,unit,second
t,unit,tonne
yr,unit,year
che,letter,a Cyrillic letter name
dee,letter,the name of the letter D
ef,letter,the name of the letter F
eng,letter,the name of the letter eng
eth,letter,the name of the letter eth
f,letter,the name of the letter F
faa,letter,an Arabic letter name
feng,letter,a Latin-script letter name
ge,letter,a Cyrillic letter name
ish,letter,a Pitman shorthand letter name
n,letter,the name of the letter N
oo,letter,the name of the Greek letter omega
ot,letter,a Cyrillic letter name
p,letter,the name of the letter P
thee,letter,a Pitman shorthand letter name
v,letter,the name of the letter V
w,letter,the name of the letter W
y,letter,the name of the letter Y
ep,clipping,episode
ext,clipping,extension
lib,clipping,liberal
nic,clipping,nicotine
serie,clipping,series
tri,clipping,triathlon
txt,clipping,text
univ,clipping,university
vt,clipping,verb transitive - a dictionary label
quo,clipping,only occurs inside quid pro quo
ibn,clipping,a naming particle - son of
fishes,inflection,a plural form
