word,verdict,note,marks
balun,noun,a transformer matching a balanced line to an unbalanced one,
beamwidth,noun,the angular width of an antenna's main radiation lobe,
bootloader,noun,the small program that loads a device's main firmware at startup,
daughterboard,noun,a circuit board that plugs into a larger one to extend it,
debouncing,noun,the suppression of spurious repeat signals from a mechanical contact,
demultiplexer,noun,a circuit routing one input to a selected one of several outputs,
diac,noun,a two-terminal semiconductor that conducts once a breakover voltage is reached,
dopant,noun,an impurity added to a semiconductor to set its conductivity,
feedline,noun,the cable carrying a signal between a transmitter and an antenna,
flipflop,noun,a bistable circuit that stores one bit,
heatsink,noun,a finned metal body that carries heat away from a component,
megohmmeter,noun,an instrument for measuring very high resistances,
memristor,noun,a two-terminal component whose resistance depends on the charge that has passed through it,
microcontroller,noun,a single chip containing a processor with its memory and peripherals,
milliamp,noun,one thousandth of an ampere,
monopole,noun,a single-element antenna worked against a ground plane,
multimeter,noun,"a test instrument measuring voltage, current and resistance",
netlist,noun,a text description of the components in a circuit and what connects them,
optocoupler,noun,a component passing a signal between circuits by light rather than by wire,
optoisolator,noun,an optocoupler used to keep two circuits electrically separate,
passivation,noun,the growth of a protective surface layer on a semiconductor or metal,
photodiode,noun,a diode that produces current in proportion to the light falling on it,
photoresist,noun,a light-sensitive coating patterned by exposure during chip fabrication,
photoresistor,noun,a resistor whose resistance falls as the light on it rises,
polysilicon,noun,"polycrystalline silicon, used for gates and interconnects on a chip",
reflow,noun,the oven process that melts solder paste to fix parts to a board,
sidelobe,noun,a secondary peak in an antenna's radiation pattern,
snubber,noun,a small network that damps a voltage spike across a switching device,
soldermask,noun,the lacquer coating a circuit board everywhere solder is not wanted,
stripboard,noun,a prototyping board with parallel copper strips already laid down,
supercapacitor,noun,a capacitor of very high capacitance used for short-term energy storage,
susceptance,noun,the imaginary part of admittance,
switchgear,noun,the assembly of switches and breakers controlling a power circuit,
triac,noun,a three-terminal semiconductor switching alternating current in both directions,
ultracapacitor,noun,another name for a supercapacitor,
varactor,noun,a diode used as a voltage-controlled capacitor,
veroboard,noun,a proprietary brand of stripboard,
