word,verdict,note,marks
aliasing,noun,the artifact produced when a signal is sampled too coarsely to represent it,
anechoicity,noun,the property of returning no ultrasound echo,
backprojection,noun,the reconstruction of an image by smearing each projection back across the image plane,
cholangiogram,noun,,
cystogram,noun,,
cystography,noun,,
dephasing,noun,the loss of phase coherence among precessing spins,
dosimetrist,noun,,
echogenicity,noun,,
elastography,noun,,
fluence,noun,the number of particles or amount of radiant energy crossing unit area,
fluorodeoxyglucose,noun,,
hyperdensity,noun,a region appearing brighter than its surroundings on a computed tomography image,
hyperintensity,noun,a region appearing brighter than its surroundings on a magnetic resonance image,
hypodensity,noun,a region appearing darker than its surroundings on a computed tomography image,
hypointensity,noun,a region appearing darker than its surroundings on a magnetic resonance image,
hysterosalpingography,noun,,
insonation,noun,the exposure of tissue to an ultrasound beam,
isocenter,noun,the fixed point about which a scanner's gantry rotates,
isosurface,noun,,
kerma,noun,the kinetic energy released per unit mass in matter by ionising radiation,
microbubble,noun,,
nephrogram,noun,,
photopeak,noun,,
quench,noun,"the sudden loss of superconductivity in a magnet, boiling off its cryogen",
radiolucency,noun,,
radiolucent,adj,"letting X-rays pass, so appearing dark on a radiograph",
radiopaque,adj,"blocking X-rays, so appearing bright on a radiograph",
radiopharmacy,noun,the preparation and dispensing of radioactive drugs for diagnosis and treatment,
radiotracer,noun,,
rephasing,noun,the restoration of phase coherence among precessing spins,
scintigraphy,noun,imaging that maps the gamma rays emitted by a radiotracer taken up by the body,
sensitometry,noun,,
shimming,noun,the adjustment of a magnet's field to make it uniform,
sialography,noun,,
sinogram,noun,the raw projection data of a scan plotted against angle and position,
sonographer,noun,a person trained to perform ultrasound examinations,
thresholding,noun,the separation of an image into regions by comparing each value with a threshold,
tomosynthesis,noun,,
urogram,noun,,
urography,noun,,
ventriculography,noun,,
volumetry,noun,the measurement of the volume of a structure from an image,
voxel,noun,,
windowing,noun,the range of values mapped to the displayed grey scale,
