word,verdict,note,marks
antiqua,noun,a roman typeface as distinct from a blackletter one,
ascender,noun,the part of a letter that rises above the x-height,
caron,noun,"a diacritical mark shaped like a small v, placed above a letter",
descender,noun,the part of a letter that falls below the baseline,
glyph,noun,a single character or symbol as it is drawn in a typeface,
guillemet,noun,an angled quotation mark used in French and other languages,
hinting,noun,the instructions in a font that fit its outlines to a pixel grid,
interpunct,noun,a small raised dot used to separate words or parts of a word,
kerning,noun,the adjustment of the space between two particular letters,
letterform,noun,the shape of a letter as it is drawn or cut,
ligature,noun,two or more letters joined into a single character,
manicule,noun,a pointing hand drawn in a margin to mark a passage,
monospace,noun,a typeface in which every character occupies the same width,
octothorpe,noun,the hash sign,
ogonek,noun,a hook-shaped diacritical mark attached below a letter,
oldstyle,noun,"a set of numerals with ascenders and descenders, sitting unevenly on the line",
pilcrow,noun,the mark used to show where a paragraph begins,
sans,noun,a typeface without serifs,
smallcaps,noun,capital letters cut at the height of the lowercase,
tittle,noun,the dot above a lowercase i or j,
