word,verdict,note,marks
yabbie,noun,a freshwater crayfish of Australia,
yaffle,noun,"the European green woodpecker, named for its laughing call",
yahrzeit,noun,"the yearly anniversary of a death, kept in Jewish observance",
yammer,noun,a loud repetitive noise or complaint,
yardang,noun,a sharp ridge of rock carved by the wind and lying along its path,
yardland,noun,"an obsolete English measure of land, about thirty acres",
yarg,noun,a semi-hard Cornish cheese wrapped in nettle leaves,
yarner,noun,a teller of tall stories,
yatagan,noun,a short curved single-edged Turkish sword,
yate,noun,a hard-timbered eucalyptus of Western Australia,
yatter,noun,trivial incessant chatter,
yawp,noun,a loud harsh cry,
yeaning,verb,the bearing of young by a ewe or a goat,
yelper,noun,"a person, animal or device that yelps",
yelt,noun,a young sow that has not yet had a litter,
yerba,noun,"the mate plant, whose leaves are brewed as a tea",
yewberry,noun,the red fleshy fruit of the yew,
yoctosecond,noun,a unit of time equal to one septillionth of a second,
yohimbine,noun,"an alkaloid from the bark of a West African tree, used in medicine",
yperite,noun,"mustard gas, a blistering agent used in chemical warfare",
yttrialite,noun,a rare radioactive silicate mineral of yttrium and thorium,
yttrocerite,noun,"a violet-blue fluoride mineral of cerium, yttrium and calcium",
yukata,noun,a light unlined cotton kimono worn in summer,
yuzu,noun,a sour aromatic East Asian citrus fruit,
