word,verdict,note,marks
zafu,noun,a round cushion for seated meditation,
zakuska,noun,"a Russian hors d'oeuvre, usually served with vodka",
zamak,noun,"a zinc alloy with aluminium, magnesium and copper, used for die casting",
zax,noun,,
zebroid,noun,a hybrid of a zebra and another equine,
zeitgeber,noun,"an environmental cue, such as daylight, that entrains a biological clock",
zek,noun,an inmate of a Soviet labour camp,
zelkova,noun,"an elm-family tree of Asia, planted for shade and bonsai",
zemblanity,noun,the faculty of making unhappy discoveries; the opposite of serendipity,
zendo,noun,a hall where Zen meditation is practised,
zeptosecond,noun,one sextillionth of a second,
zerk,noun,a grease nipple; a fitting through which grease is pumped into a bearing,
zester,noun,a kitchen tool for scraping the zest from citrus peel,
zettahertz,noun,a frequency of one sextillion hertz,
zillionaire,noun,"a person of immense, uncountable wealth",
zincite,noun,a red or orange mineral form of zinc oxide,
zineb,noun,a zinc-based agricultural fungicide,
zino,noun,the hypothetical superpartner of the Z boson,
zircaloy,noun,a zirconium alloy used to clad nuclear fuel,
zirconate,noun,a salt of zirconic acid,
zoetrope,noun,a spinning drum with slits that animates a strip of drawings,
zoisite,noun,a calcium aluminium silicate mineral; the blue variety is tanzanite,
zokor,noun,a burrowing mole-rat of central Asia,
zonda,noun,"a hot, dry foehn wind of the Argentine Andes",
zonkey,noun,a hybrid of a zebra and a donkey,
zoonym,noun,the name of an animal or animal species,
zoophile,noun,"a person fond of animals; also, in clinical use, one sexually attracted to them",
zopiclone,noun,a sedative drug prescribed for insomnia,
zorille,noun,a striped polecat of Africa,
zorse,noun,a hybrid of a zebra stallion and a horse mare,
zouave,noun,"a French light-infantry soldier in North African dress, or a US Civil War soldier in that uniform",
zrazy,noun,"an Eastern European dish of rolled, stuffed slices of beef",
zubr,noun,"the European bison, or wisent",
zucchetta,noun,"a long, curved Italian summer squash; tromboncino",
zugunruhe,noun,the restlessness of migratory birds as the season to migrate approaches,
zwinger,noun,the open killing ground between the inner and outer walls of a castle,
zwischenzug,noun,"in chess, an intermediate move that interrupts an expected sequence",
zwitterion,noun,"a molecule carrying both a positive and a negative charge, such as an amino acid in solution",
zygodactyl,noun,"a bird whose toes point two forward and two back, such as a parrot or woodpecker",
zygomycete,noun,a fungus of the group that includes bread moulds,
zymogram,noun,an electrophoresis gel that shows where enzymes are active,
zymography,noun,electrophoresis that detects enzyme activity in a gel,
zymurgist,noun,a practitioner of zymurgy; a brewer or fermentation chemist,
zythology,noun,the study of beer and brewing,
zythum,noun,a malt beer of ancient Egypt,
