date,sheet,item,verdict,note
2026-08-29,uk_review.csv,broach,keep (not a UK spelling variant),"a spit/tapered tool and the verb sense; not a spelling of ""brooch"""
2026-08-29,uk_review.csv,chapiter,keep (not a UK spelling variant),"architectural capital of a column; not a spelling of ""chapter"""
2026-08-29,uk_review.csv,darter,keep (not a UK spelling variant),"a bird (anhinga) and an agent noun of dart; not ""daughter"""
2026-08-29,uk_review.csv,dead,keep (not a UK spelling variant),"clipping of deadlift is a gym sense; ""dead"" is an ordinary word"
2026-08-29,uk_review.csv,delf,keep (not a UK spelling variant),"glazed earthenware; related to but not a spelling of ""delft"""
2026-08-29,uk_review.csv,do,keep (not a UK spelling variant),"hairdo clipping; ""do"" is an ordinary word, not a UK spelling"
2026-08-29,uk_review.csv,frank,keep (not a UK spelling variant),"a franking mark; not a spelling of ""franc"""
2026-08-29,uk_review.csv,ki,keep (not a UK spelling variant),"clipping of key (UK slang); keep, not a spelling variant"
2026-08-29,uk_review.csv,lat,keep (not a UK spelling variant),clipping of latitude; also the muscle; keep
2026-08-29,uk_review.csv,lats,keep (not a UK spelling variant),plural of lat (muscle); keep
2026-08-29,uk_review.csv,lido,keep (not a UK spelling variant),a public outdoor pool; the lidocaine clipping is a stray sense
2026-08-29,uk_review.csv,lit,keep (not a UK spelling variant),clipping of literature; keep
2026-08-29,uk_review.csv,mag,keep (not a UK spelling variant),clipping of magazine; keep
2026-08-29,uk_review.csv,melt,keep (not a UK spelling variant),"ordinary noun/verb; not a spelling of ""milt"""
2026-08-29,uk_review.csv,mod,keep (not a UK spelling variant),"clipping of modification, also the subculture; keep"
2026-08-29,uk_review.csv,panto,keep (not a UK spelling variant),clipping of pantomime; keep
2026-08-29,uk_review.csv,par,keep (not a UK spelling variant),"clipping of paragraph, also the golf sense; keep"
2026-08-29,uk_review.csv,rime,keep (not a UK spelling variant),"frost; not a spelling of ""rhyme"" in modern use"
2026-08-29,uk_review.csv,t,keep (not a UK spelling variant),"letter/clipping; not a UK spelling of ""time"""
2026-08-29,uk_review.csv,y,keep (not a UK spelling variant),"letter/clipping; not a UK spelling of ""year"""
2026-08-29,variants_ing.csv,birthing / berthing,noise,unrelated words (birth vs berth)
2026-08-29,variants_ing.csv,centring / centering,british,BrE spelling of centering
2026-08-29,variants_ing.csv,coding / coding,noise,both sides are the same word
2026-08-29,variants_ing.csv,colouring / coloring,british,BrE -our spelling
2026-08-29,variants_ing.csv,combing / coaming,noise,"comb vs coaming (nautical), unrelated"
2026-08-29,variants_ing.csv,counselling / counseling,british,BrE doubled consonant
2026-08-29,variants_ing.csv,dubbing / dubbin,noise,"dubbin is a leather wax, unrelated to dubbing"
2026-08-29,variants_ing.csv,earring / earing,noise,"earing is a nautical rope, unrelated"
2026-08-29,variants_ing.csv,faggoting / fagoting,spelling_pair,"embroidery term, both spellings current, not regional"
2026-08-29,variants_ing.csv,flavouring / flavoring,british,BrE -our spelling
2026-08-29,variants_ing.csv,fledgeling / fledgling,spelling_pair,"older spelling, not regional"
2026-08-29,variants_ing.csv,focussing / focusing,british,BrE doubled consonant
2026-08-29,variants_ing.csv,gloam / gloaming,noise,"distinct word, not a variant of gloaming"
2026-08-29,variants_ing.csv,highjacking / hijacking,spelling_pair,"dated variant spelling, not regional"
2026-08-29,variants_ing.csv,lightening / lightning,noise,"making lighter, unrelated to lightning"
2026-08-29,variants_ing.csv,lightning / lightening,noise,the reverse of the same bad pairing
2026-08-29,variants_ing.csv,ling / linguistics,noise,regex artifact (linguistics)
2026-08-29,variants_ing.csv,mg / meaning,noise,regex artifact (meaning)
2026-08-29,variants_ing.csv,modelling / modeling,british,BrE doubled consonant
2026-08-29,variants_ing.csv,moulding / molding,british,BrE -ou- spelling
2026-08-29,variants_ing.csv,noggin / nogging,noise,"nogging is masonry, noggin is a head/measure"
2026-08-29,variants_ing.csv,nurseling / nursling,spelling_pair,"older spelling, not regional"
2026-08-29,variants_ing.csv,packing / meatpacking,noise,"meatpacking is a compound, not a variant"
2026-08-29,variants_ing.csv,paneling / panelling,american,AmE side; panelling is the BrE spelling
2026-08-29,variants_ing.csv,parceling / parcelling,american,AmE side; parcelling is BrE
2026-08-29,variants_ing.csv,pargetting / pargeting,spelling_pair,"both spellings attested, not regional"
2026-08-29,variants_ing.csv,plowing / ploughing,american,AmE side; ploughing is BrE
2026-08-29,variants_ing.csv,rattling / ratline,noise,"ratline is a rope, unrelated"
2026-08-29,variants_ing.csv,raveling / ravelling,american,AmE side; ravelling is BrE
2026-08-29,variants_ing.csv,ridgling / ridgeling,spelling_pair,"both spellings attested, not regional"
2026-08-29,variants_ing.csv,savouring / savoring,british,BrE -our spelling
2026-08-29,variants_ing.csv,shilling / schilling,noise,"schilling was the Austrian currency, distinct"
2026-08-29,variants_ing.csv,sniveling / snivelling,american,AmE side; snivelling is BrE
2026-08-29,variants_ing.csv,socialising / socializing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,tat / tatting,noise,"tatting is lacemaking, tat is junk"
2026-08-29,variants_ing.csv,thing / ting,noise,ting is a distinct word
2026-08-29,variants_ing.csv,toweling / towelling,american,AmE side; towelling is BrE
2026-08-29,variants_ing.csv,vaporing / vapouring,american,AmE side; vapouring is BrE
2026-08-29,variants_ing.csv,wainscoting / wainscotting,spelling_pair,"both spellings attested, not regional"
2026-08-29,variants_ing.csv,channeling / channelling,american,AmE side; channelling is BrE
2026-08-29,variants_ing.csv,agonising / agonizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,apologising / apologizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,appraising / apprising,noise,appraise and apprise are different verbs
2026-08-29,variants_ing.csv,apprizing / apprising,spelling_pair,"apprize/apprise doublet, not regional"
2026-08-29,variants_ing.csv,attitudinising / attitudinizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,backpedalling / backpedaling,british,BrE doubled consonant
2026-08-29,variants_ing.csv,barrelling / barreling,british,BrE doubled consonant
2026-08-29,variants_ing.csv,baulking / balking,british,BrE -au- spelling
2026-08-29,variants_ing.csv,beveling / bevelling,american,AmE side; bevelling is BrE
2026-08-29,variants_ing.csv,biassing / biasing,british,BrE doubled consonant
2026-08-29,variants_ing.csv,binging / bingeing,spelling_pair,"binge inflection dispute, not regional"
2026-08-29,variants_ing.csv,bussing / busing,spelling_pair,"bus inflection dispute, not regional"
2026-08-29,variants_ing.csv,cataloging / cataloguing,american,AmE side; cataloguing is BrE
2026-08-29,variants_ing.csv,checkering / chequering,american,AmE side; chequering is BrE
2026-08-29,variants_ing.csv,chiseling / chiselling,american,AmE side; chiselling is BrE
2026-08-29,variants_ing.csv,dialling / dialing,british,BrE doubled consonant
2026-08-29,variants_ing.csv,duelling / dueling,british,BrE doubled consonant
2026-08-29,variants_ing.csv,dyking / diking,spelling_pair,"dyke/dike doublet, not cleanly regional"
2026-08-29,variants_ing.csv,endeavouring / endeavoring,british,BrE -our spelling
2026-08-29,variants_ing.csv,fantasising / fantasizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,faring / fairing,noise,"fare vs fairing (a cowling), unrelated"
2026-08-29,variants_ing.csv,favouring / favoring,british,BrE -our spelling
2026-08-29,variants_ing.csv,gamboling / gambolling,american,AmE side; gambolling is BrE
2026-08-29,variants_ing.csv,gaoling / jailing,british,gaol is the BrE spelling of jail
2026-08-29,variants_ing.csv,glueing / gluing,spelling_pair,"variant spelling of gluing, not regional"
2026-08-29,variants_ing.csv,graveling / gravelling,american,AmE side; gravelling is BrE
2026-08-29,variants_ing.csv,grueling / gruelling,american,AmE side; gruelling is BrE
2026-08-29,variants_ing.csv,imperilling / imperiling,british,BrE doubled consonant
2026-08-29,variants_ing.csv,licencing / licensing,british,licence is the BrE noun spelling
2026-08-29,variants_ing.csv,marshaling / marshalling,american,AmE side; marshalling is BrE
2026-08-29,variants_ing.csv,marveling / marvelling,american,AmE side; marvelling is BrE
2026-08-29,variants_ing.csv,nickeling / nickelling,american,AmE side; nickelling is BrE
2026-08-29,variants_ing.csv,ovaling / ovalling,american,AmE side; ovalling is BrE
2026-08-29,variants_ing.csv,pedalling / pedaling,british,BrE doubled consonant
2026-08-29,variants_ing.csv,penciling / pencilling,american,AmE side; pencilling is BrE
2026-08-29,variants_ing.csv,plagiarising / plagiarizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,quarreling / quarrelling,american,AmE side; quarrelling is BrE
2026-08-29,variants_ing.csv,queueing / queuing,spelling_pair,"queue inflection dispute, not regional"
2026-08-29,variants_ing.csv,raping / rapping,noise,rape and rap are different verbs
2026-08-29,variants_ing.csv,reprograming / reprogramming,spelling_pair,"inflection dispute, not regional"
2026-08-29,variants_ing.csv,romanticising / romanticizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,roystering / roistering,spelling_pair,"royster/roister doublet, not regional"
2026-08-29,variants_ing.csv,shoveling / shovelling,american,AmE side; shovelling is BrE
2026-08-29,variants_ing.csv,smoldering / smouldering,american,AmE side; smouldering is BrE
2026-08-29,variants_ing.csv,spiraling / spiralling,american,AmE side; spiralling is BrE
2026-08-29,variants_ing.csv,stencilling / stenciling,british,BrE doubled consonant
2026-08-29,variants_ing.csv,swiveling / swivelling,american,AmE side; swivelling is BrE
2026-08-29,variants_ing.csv,swopping / swapping,british,swop is the BrE variant of swap
2026-08-29,variants_ing.csv,sympathising / sympathizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,syphoning / siphoning,british,BrE -y- spelling
2026-08-29,variants_ing.csv,tabletting / tableting,british,BrE doubled consonant
2026-08-29,variants_ing.csv,tantalising / tantalizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,taxying / taxiing,british,BrE spelling of taxiing
2026-08-29,variants_ing.csv,temporising / temporizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,theorising / theorizing,british,BrE -ise spelling
2026-08-29,variants_ing.csv,tunnelling / tunneling,british,BrE doubled consonant
2026-08-29,variants_ing.csv,worshiping / worshipping,american,AmE side; worshipping is BrE
2026-08-29,uk_reviewed.csv,counselling,removed from the keep-list,the -ing pass ruled it the BrE spelling of counseling; keeping both contradicts the exclude-British rule
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",non,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",al,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",facebook,name,"name, brand or place; not a common noun"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",app,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",download,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",kinda,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",pregnant,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",quit,verb,verb or verb form; the noun sense is incidental
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",haha,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",bro,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",arab,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",nov,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",josh,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",se,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",dual,adj,adjective; the noun sense is a nominalisation or a rarity
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",nope,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",bitcoin,noun,ordinary common noun the dataset should have
2026-08-29,"gaps.csv (clean band, zipf >= 3.0)",er,noise,"not a usable common noun -- abbreviation, letter name, interjection, foreign word or a single obscure sense"
