word,group
radiography,modality
radiology,modality
fluoroscopy,modality
fluoroscope,modality
mammography,modality
mammogram,modality
tomography,modality
tomogram,modality
tomosynthesis,modality
sonography,modality
ultrasonography,modality
sonogram,modality
angiography,modality
angiogram,modality
arteriography,modality
arteriogram,modality
venography,modality
venogram,modality
myelography,modality
myelogram,modality
urography,modality
urogram,modality
pyelogram,modality
cholangiography,modality
cholangiogram,modality
cystography,modality
cystogram,modality
arthrography,modality
arthrogram,modality
sialography,modality
lymphangiography,modality
hysterosalpingography,modality
discography,modality
ventriculography,modality
echocardiography,modality
echocardiogram,modality
scintigraphy,modality
scintigram,modality
densitometry,modality
thermography,modality
elastography,modality
spectroscopy,modality
volumetry,modality
dosimetry,modality
radiograph,modality
encephalogram,modality
magnetization,mri
magnet,mri
gradient,mri
shimming,mri
shim,mri
resonance,mri
precession,mri
relaxation,mri
susceptibility,mri
quench,mri
cryogen,mri
cryostat,mri
spin,mri
dephasing,mri
rephasing,mri
inversion,mri
saturation,mri
bore,mri
birdcage,mri
coil,mri
tesla,mri
gauss,mri
diffusion,mri
perfusion,mri
collimator,xray
collimation,xray
kerma,xray
roentgen,xray
sievert,xray
becquerel,xray
fluence,xray
filtration,xray
scatter,xray
anode,xray
cathode,xray
filament,xray
cassette,xray
bucky,xray
penumbra,xray
grid,xray
phosphor,xray
photomultiplier,xray
scintillation,xray
scintillator,xray
densitometer,xray
sensitometry,xray
attenuation,xray
radiolucency,xray
radiopacity,xray
radiolucent,xray
radiopaque,xray
transducer,ultrasound
piezoelectricity,ultrasound
sonographer,ultrasound
reverberation,ultrasound
shadowing,ultrasound
speckle,ultrasound
harmonic,ultrasound
insonation,ultrasound
echogenicity,ultrasound
anechoicity,ultrasound
microbubble,ultrasound
doppler,ultrasound
probe,ultrasound
echo,ultrasound
pitch,ultrasound
positron,nuclear
radioisotope,nuclear
radionuclide,nuclear
radiopharmaceutical,nuclear
radiotracer,nuclear
radiopharmacy,nuclear
radioactivity,nuclear
annihilation,nuclear
gamma,nuclear
technetium,nuclear
fluorodeoxyglucose,nuclear
uptake,nuclear
tracer,nuclear
photopeak,nuclear
septum,nuclear
isotope,nuclear
curie,nuclear
decay,nuclear
pixel,image
voxel,image
slice,image
sinogram,image
projection,image
backprojection,image
reconstruction,image
interpolation,image
segmentation,image
registration,image
thresholding,image
smoothing,image
windowing,image
histogram,image
rendering,image
isosurface,image
montage,image
overlay,image
matrix,image
isocenter,image
phantom,image
contrast,image
detector,image
refraction,image
resolution,image
artifact,artifact
artefact,artifact
aliasing,artifact
ghosting,artifact
blooming,artifact
streaking,artifact
banding,artifact
moire,artifact
ringing,artifact
truncation,artifact
zipper,artifact
herringbone,artifact
radiologist,clinical
radiographer,clinical
technologist,clinical
dosimetrist,clinical
dosimeter,clinical
bolus,clinical
extravasation,clinical
nephrogram,clinical
opacification,clinical
calcification,clinical
hyperdensity,clinical
hypodensity,clinical
hyperintensity,clinical
hypointensity,clinical
gantry,clinical
lesion,clinical
nodule,clinical
