word,verdict,definition,suggest_instead,marks,note
aedes,name,,,,taxonomic genus of mosquitoes; capitalised in use
alcaic,noun,A line or stanza in the Alcaic metre of Greek lyric poetry.,,,
alhaja,noun,A jewel or precious ornament.,,,from Spanish; rare in English
amie,noise,,,,French for a female friend; not naturalised
ammonate,noun,A chemical compound formed by the addition of ammonia.,,,
anglomania,noun,Excessive admiration of English customs or institutions.,,,
appa,noise,,,,unclear sense; South Asian usages conflict
argentum,noun,"Silver, especially under its Latin name, the source of the symbol Ag.",,,
ascetism,variant,,asceticism,,
atticism,noun,"A concise and elegant turn of phrase, in the manner of Attic Greek.",,possible name,
avion,noise,,,,French for aeroplane; not naturalised
bafana,name,,,,from the South African football team nickname
bandido,noun,"A bandit, especially in Mexico and the American Southwest.",,,
beduin,variant,,bedouin,,
belga,noun,A former Belgian monetary unit worth five francs.,,,
bhavan,noun,"A building or hall, in Indian English.",,,
bigener,noun,A hybrid plant or animal whose parents belong to different genera.,,,
binghi,noise,,,,dated Australian ethnic slur
brei,noun,"A guttural pronunciation of the letter r, characteristic of some South African speech.",,,
brierroot,noun,"The root of the brier, used to make tobacco pipe bowls.",,,
bushfowl,noun,An African game bird of the francolin family.,,,
cambogia,noun,"Gamboge, a gum resin used as a yellow pigment and a purgative.",,,
camize,variant,,camise,,
caritas,noun,Christian love for others; charity as a theological virtue.,,,
carolus,noun,An English gold coin struck in the reign of Charles I.,,possible name,
cesar,name,,,,personal name
challie,variant,,challis,,
chaqueta,noun,"A jacket, especially one of leather worn by cowboys in the Southwest.",,,
chartography,variant,,cartography,,
christology,noun,The branch of theology concerned with the person and nature of Christ.,,possible name,
ciliophora,name,,,,taxonomic phylum of protozoans
claddagh,noun,An Irish ring showing two hands clasping a crowned heart.,,possible name,
coburg,noun,A round loaf of bread with a cross cut in the top.,,possible name,
comake,noise,,,,no attested noun sense
coth,noise,,,,notation for the hyperbolic cotangent function
crenshaw,noun,A large melon with sweet pink-orange flesh.,,possible name,
crimmer,noun,A grey or black fur made from the pelt of a young Crimean lamb.,,,
crowboot,noun,An Inuit boot made of caribou or sealskin.,,,
cuprum,noun,"Copper, under its Latin name, the source of the symbol Cu.",,,
dateset,noise,,,,apparent misspelling of dataset
declassee,noun,A woman who has lost her former social standing.,,,
deil,noun,"The devil, in Scots usage.",,,
deutschemark,variant,,deutschmark,,
deutschmark,noun,"The former basic monetary unit of Germany, replaced by the euro.",,possible name,
digresser,noun,A person who digresses from the subject at hand.,,,
diplosis,noun,The doubling of the chromosome number at fertilisation.,,,
dixieland,noun,"A style of jazz with collective improvisation, originating in New Orleans.",,possible name,
doberman,noun,"A breed of large, powerful, short-haired dog used as a guard dog.",,possible name,
dogbox,noun,A compartment in a railway carriage with no corridor access.,,,
dompas,noun,The identity document black South Africans were required to carry under apartheid.,,,
donnee,noun,"A fact or premise taken as given, from which a story or argument proceeds.",,,
dracena,variant,,dracaena,,
draggee,variant,,dragee,,
duro,noun,A Spanish silver coin worth five pesetas.,,,
episcopalianism,noun,"Government of a church by bishops, or adherence to the Episcopal Church.",,possible name,
erugo,variant,,aerugo,,
eupatrid,noun,A member of the hereditary aristocracy of ancient Athens.,,,
feathercut,noun,A short hairstyle cut in light overlapping layers.,,,
feringhee,noun,"A European, in dated Indian usage.",,,historical; can read as pejorative
frankforter,variant,,frankfurter,,
gesellschaft,noun,"A social group held together by impersonal, contractual ties rather than kinship.",,,
gestapo,noun,"A secret police force using terror and surveillance, after the Nazi original.",,possible name,
gipon,noun,A tunic worn under or over medieval armour.,,,
gladstone,noun,A light travelling bag hinged to open into two equal compartments.,,possible name,
gravitater,noise,,,,nonce agent noun; no dictionary sense
gutser,noun,"A heavy fall or a complete failure, in Australian usage.",,,
haematoxylon,name,,,,taxonomic genus of logwood trees
haeres,noise,,,,Latin legal term for an heir; not naturalised
haplite,variant,,aplite,,
heredes,noise,,,,Latin plural of heres
heterism,noun,A form of social organisation in which marriage ties are communal rather than exclusive.,,,
hipbath,noun,A bath shaped so that the bather sits rather than lies down.,,,
horme,noun,Purposive vital energy directing an organism towards a goal.,,,
hospholipase,noise,,,,apparent misspelling of phospholipase
ichthyornis,name,,,,taxonomic genus of extinct toothed birds
imagineering,noun,The practice of turning imaginative ideas into working reality.,,,
ipomea,variant,,ipomoea,,
isobarism,noun,The condition of being under uniform barometric pressure.,,,
jacobus,noun,An English gold coin struck in the reign of James I.,,possible name,
jura,name,,,,mountain range; also a Latin plural
kaiserism,noun,Autocratic imperial rule of the kind exercised by a kaiser.,,possible name,
kashmir,name,,,,place name; the fabric is spelled cashmere
kilocoulomb,noun,A unit of electric charge equal to one thousand coulombs.,,,
laserdisk,variant,,laserdisc,,
lectrice,noun,A woman employed to read aloud to another.,,,
mach,noun,The ratio of the speed of a body to the speed of sound in the surrounding medium.,,possible name,
machiavellianism,noun,Cunning and duplicity in statecraft or in general conduct.,,possible name,
macrocosmos,variant,,macrocosm,,
makuti,noun,"Thatch made from palm leaves, used for roofing in East Africa.",,,
mammonist,noun,A person devoted to the pursuit of wealth.,,,
marka,noun,The basic monetary unit of Bosnia and Herzegovina.,,,
maskanonge,variant,,muskellunge,,
medicaid,name,,,,United States federal health programme
melanochroi,noise,,,,obsolete racial classification; plural only
melodia,noun,An organ stop of soft flute-like tone.,,,
microportal,noun,A small web portal serving a narrow subject or audience.,,,
miladi,variant,,milady,,
mize,noise,,,,no attested noun sense
montgolfier,noun,A balloon lifted by heated air rather than by a lighter-than-air gas.,,possible name,
