word,verdict,note
at,noise,"a letter name or abbreviation, not a playable common noun"
chilly,adj,an adjective; any noun sense is a nominalisation
congeneric,adj,an adjective; any noun sense is a nominalisation
corey,name,"a personal name, not a common noun"
cory,name,"a personal name, not a common noun"
cosier,adj,an adjective; any noun sense is a nominalisation
cozier,adj,an adjective; any noun sense is a nominalisation
dec,noise,"a letter name or abbreviation, not a playable common noun"
eager,adj,an adjective; any noun sense is a nominalisation
eq,noise,"a letter name or abbreviation, not a playable common noun"
ex,noise,"a letter name or abbreviation, not a playable common noun"
f,noise,"a letter name or abbreviation, not a playable common noun"
frenetic,adj,an adjective; any noun sense is a nominalisation
ft,noise,"a letter name or abbreviation, not a playable common noun"
g,noise,"a letter name or abbreviation, not a playable common noun"
h,noise,"a letter name or abbreviation, not a playable common noun"
here,adv,an adverb; the noun sense is a nominalisation
horsey,adj,an adjective; any noun sense is a nominalisation
horsy,adj,an adjective; any noun sense is a nominalisation
hr,noise,"a letter name or abbreviation, not a playable common noun"
in,noise,"a letter name or abbreviation, not a playable common noun"
kc,noise,"a letter name or abbreviation, not a playable common noun"
lb,noise,"a letter name or abbreviation, not a playable common noun"
litoral,adj,an adjective; any noun sense is a nominalisation
littoral,adj,an adjective; any noun sense is a nominalisation
m,noise,"a letter name or abbreviation, not a playable common noun"
maxillary,adj,an adjective; any noun sense is a nominalisation
mediaeval,adj,an adjective; any noun sense is a nominalisation
medieval,adj,an adjective; any noun sense is a nominalisation
min,noise,"a letter name or abbreviation, not a playable common noun"
ml,noise,"a letter name or abbreviation, not a playable common noun"
mm,noise,"a letter name or abbreviation, not a playable common noun"
mo,noise,"a letter name or abbreviation, not a playable common noun"
ms,noise,"a letter name or abbreviation, not a playable common noun"
n,noise,"a letter name or abbreviation, not a playable common noun"
nancy,name,"a personal name, not a common noun"
ng,noise,"a letter name or abbreviation, not a playable common noun"
nosey,adj,an adjective; any noun sense is a nominalisation
nosy,adj,an adjective; any noun sense is a nominalisation
p,noise,"a letter name or abbreviation, not a playable common noun"
paramedical,adj,an adjective; any noun sense is a nominalisation
pct,noise,"a letter name or abbreviation, not a playable common noun"
percy,name,"a personal name, not a common noun"
perky,adj,an adjective; any noun sense is a nominalisation
phrenetic,adj,an adjective; any noun sense is a nominalisation
preventable,adj,an adjective; any noun sense is a nominalisation
preventible,adj,an adjective; any noun sense is a nominalisation
resistent,adj,an adjective; any noun sense is a nominalisation
s,noise,"a letter name or abbreviation, not a playable common noun"
salable,adj,an adjective; any noun sense is a nominalisation
saleable,adj,an adjective; any noun sense is a nominalisation
sec,noise,"a letter name or abbreviation, not a playable common noun"
so,noise,"a letter name or abbreviation, not a playable common noun"
staunch,adj,an adjective; any noun sense is a nominalisation
t,noise,"a letter name or abbreviation, not a playable common noun"
tawney,adj,an adjective; any noun sense is a nominalisation
tawny,adj,an adjective; any noun sense is a nominalisation
v,noise,"a letter name or abbreviation, not a playable common noun"
var,noise,"a letter name or abbreviation, not a playable common noun"
w,noise,"a letter name or abbreviation, not a playable common noun"
wynn,name,"a personal name, not a common noun"
y,noise,"a letter name or abbreviation, not a playable common noun"
yr,noise,"a letter name or abbreviation, not a playable common noun"
