variant,canonical,verdict,note
in,inch,unrelated,not a spelling pair
at,att,unrelated,not a spelling pair
do,hairdo,unrelated,not a spelling pair
back,backstroke,unrelated,not a spelling pair
year,here,unrelated,not a spelling pair
why,wye,unrelated,not a spelling pair
s,scruple,unrelated,not a spelling pair
better,bettor,unrelated,not a spelling pair
must,musth,unrelated,not a spelling pair
set,sett,unrelated,not a spelling pair
head,headline,unrelated,not a spelling pair
car,cat,unrelated,not a spelling pair
president,precedent,unrelated,not a spelling pair
t,time,unrelated,not a spelling pair
m,meter,unrelated,not a spelling pair
win,wynn,unrelated,not a spelling pair
police,policy,unrelated,not a spelling pair
check,chick,unrelated,not a spelling pair
field,fielder,unrelated,not a spelling pair
board,blackboard,unrelated,not a spelling pair
re,rematch,unrelated,not a spelling pair
sex,sect,unrelated,not a spelling pair
w,win,unrelated,not a spelling pair
test,testosterone,unrelated,not a spelling pair
dead,deadlift,unrelated,not a spelling pair
sent,scent,unrelated,not a spelling pair
n,north,unrelated,not a spelling pair
p,p,unrelated,a row paired with itself
key,quay,unrelated,not a spelling pair
forward,foreword,unrelated,not a spelling pair
science,scion,unrelated,not a spelling pair
style,stile,unrelated,not a spelling pair
kill,kiln,unrelated,not a spelling pair
f,fuck,unrelated,not a spelling pair
code,cod,unrelated,not a spelling pair
super,superannuation,unrelated,not a spelling pair
staff,staph,unrelated,not a spelling pair
paper,newspaper,unrelated,not a spelling pair
bed,bedroom,unrelated,not a spelling pair
die,dye,unrelated,not a spelling pair
h,hour,unrelated,not a spelling pair
v,venturi,unrelated,not a spelling pair
la,lane,unrelated,not a spelling pair
base,bass,unrelated,not a spelling pair
mine,mien,unrelated,not a spelling pair
box,horsebox,unrelated,not a spelling pair
y,year,unrelated,not a spelling pair
rock,roc,unrelated,not a spelling pair
g,gram,unrelated,not a spelling pair
link,hyperlink,unrelated,not a spelling pair
favorite,favourite,reverse,the canonical column is the nonstandard spelling
reach,retch,unrelated,not a spelling pair
ship,relationship,unrelated,not a spelling pair
none,nones,unrelated,"nones is the Roman calendar term, not a plural of none"
beach,bitch,unrelated,not a spelling pair
wear,weir,unrelated,not a spelling pair
lack,lakh,unrelated,not a spelling pair
skin,skinhead,unrelated,not a spelling pair
block,bloc,unrelated,not a spelling pair
drug,drugstore,unrelated,not a spelling pair
cent,century,unrelated,not a spelling pair
throw,throe,unrelated,not a spelling pair
click,klick,unrelated,not a spelling pair
ex,exhibition,unrelated,not a spelling pair
wild,weald,unrelated,not a spelling pair
camp,campus,unrelated,not a spelling pair
bet,beth,unrelated,not a spelling pair
cast,caste,unrelated,not a spelling pair
van,vanguard,unrelated,not a spelling pair
labor,labour,reverse,the canonical column is the nonstandard spelling
birth,berth,unrelated,not a spelling pair
ad,advertisement,unrelated,not a spelling pair
fellow,fella,reverse,the canonical column is the nonstandard spelling
connection,connexion,reverse,the canonical column is the nonstandard spelling
aid,aide,unrelated,not a spelling pair
frank,franc,unrelated,not a spelling pair
martin,marten,unrelated,not a spelling pair
lee,li,unrelated,not a spelling pair
stress,distress,unrelated,not a spelling pair
ray,re,unrelated,not a spelling pair
ben,bin,unrelated,not a spelling pair
user,username,unrelated,not a spelling pair
chair,chairperson,unrelated,not a spelling pair
ms,manuscript,unrelated,not a spelling pair
max,maximum,unrelated,not a spelling pair
sub,submarine,unrelated,not a spelling pair
mm,month,unrelated,not a spelling pair
id,ide,unrelated,not a spelling pair
prize,price,unrelated,not a spelling pair
nick,nickname,unrelated,not a spelling pair
programme,program,variant,the variant column is the nonstandard spelling
matt,matte,variant,the variant column is the nonstandard spelling
mate,checkmate,unrelated,not a spelling pair
wet,wat,unrelated,not a spelling pair
bike,bicycle,unrelated,not a spelling pair
peak,peag,unrelated,not a spelling pair
ft,foot,unrelated,not a spelling pair
theatre,theater,variant,the variant column is the nonstandard spelling
brief,briefs,plural,"one side is a plural of the other, not a spelling variant"
pink,pinko,unrelated,not a spelling pair
cap,capture,unrelated,not a spelling pair
colour,color,variant,the variant column is the nonstandard spelling
grey,gray,variant,the variant column is the nonstandard spelling
auto,automobile,unrelated,not a spelling pair
sharp,sharpie,unrelated,not a spelling pair
bone,trombone,unrelated,not a spelling pair
pet,petition,unrelated,not a spelling pair
math,mathematics,unrelated,not a spelling pair
mac,mackintosh,unrelated,not a spelling pair
bath,bathroom,unrelated,not a spelling pair
sand,sandpiper,unrelated,not a spelling pair
mini,miniskirt,unrelated,not a spelling pair
plain,plane,unrelated,not a spelling pair
gym,gymnasium,unrelated,not a spelling pair
