name,in_namenet,in_wikipedia,also_oewn_noun
aachen,True,True,False
aalborg,True,True,False
aalst,True,False,False
aalto,True,True,False
aar,True,False,False
aare,True,True,False
aarhus,True,True,False
aaron,True,True,False
abadan,True,False,False
abdias,True,False,False
abecedarian,False,True,True
abel,True,True,False
abelard,True,False,False
abelmoschus,True,True,False
abenaki,False,True,False
aberdare,True,True,False
aberdeen,True,True,False
abidjan,True,True,False
abies,True,False,False
abila,True,False,False
abilene,True,False,False
abkhazia,True,True,False
abraham,True,True,False
abramis,True,False,False
abrocoma,True,True,False
abronia,True,False,False
abruzzi,True,False,False
abruzzo,True,False,False
abudefduf,True,True,False
abuja,True,True,False
abukir,True,False,False
abutilon,True,True,False
abydos,True,False,False
abyla,True,True,False
abyssinia,True,True,False
abzu,True,False,False
acadia,True,True,False
acalypha,True,True,False
acanthaceae,True,True,False
acanthisitta,True,False,False
acanthisittidae,True,False,False
acanthocephala,True,True,False
acanthocereus,True,True,False
acanthocybium,True,False,False
acanthophis,True,True,False
acanthopterygii,True,True,False
acanthoscelides,True,True,False
acanthuridae,True,True,False
acanthurus,True,True,False
acapulco,True,True,False
acaridae,True,True,False
acarina,True,False,False
accho,True,False,False
accipiter,True,True,False
accipitridae,True,True,False
accipitriformes,False,True,False
accra,True,True,False
acer,True,False,False
aceraceae,True,True,False
achaea,True,True,False
acheron,True,True,False
acherontia,True,False,False
acheson,True,False,False
acheta,True,True,False
achilles,True,True,False
achoerodus,True,False,False
achomawi,False,True,False
achras,True,True,False
acinonyx,True,True,False
acinos,True,False,False
acipenser,True,True,False
acipenseridae,True,False,False
acnidosporidia,True,False,False
acocanthera,True,False,False
acokanthera,True,True,False
aconcagua,True,True,False
aconitum,True,True,False
acoraceae,True,False,False
acores,True,False,False
acorus,True,True,False
acragas,True,False,False
acrasiomycetes,True,False,False
acre,True,True,True
acrididae,True,True,False
acridotheres,True,True,False
acris,True,False,False
acrobates,True,False,False
acrocarpus,True,True,False
acrocephalus,True,False,False
acroclinium,True,False,False
acrocomia,True,True,False
acropora,True,True,False
acrostichum,True,True,False
actaea,True,False,False
actias,True,True,False
actifed,False,True,False
actinaria,True,False,False
actinia,True,True,True
actiniaria,True,False,False
actinidia,True,True,False
actinidiaceae,True,True,False
actiniopteris,True,True,False
actinomeris,True,False,False
actinomycetaceae,True,True,False
actinomycetales,True,True,False
actinomyxidia,True,False,False
actinopoda,True,False,False
actinozoa,True,True,False
actitis,True,True,False
actium,True,True,False
acts,True,False,False
adad,True,False,False
adalia,True,False,False
adam,False,True,False
adams,True,False,False
adana,True,True,False
adansonia,True,True,False
adapa,True,True,False
adapid,True,False,False
adar,False,True,False
addressograph,False,True,False
adelaide,True,True,False
adelges,True,True,False
adelgidae,True,True,False
aden,True,True,False
adenanthera,True,True,False
adenauer,True,False,False
adenium,True,True,False
adenota,True,True,False
adiantaceae,True,False,False
adiantum,True,True,False
adige,True,True,False
adirondacks,True,False,False
aditi,True,True,False
adjara,True,False,False
adlumia,True,True,False
adonic,False,True,False
adonis,False,True,True
adrian,True,True,False
adrianople,True,False,False
adrianopolis,True,False,False
adriatic,True,False,False
advent,False,True,True
adventism,False,True,False
adzhar,True,False,False
adzharia,True,False,False
aedes,True,True,False
aegates,True,False,False
aegean,True,False,False
aegiceras,True,True,False
aegilops,True,True,False
aegina,False,True,False
aegisthus,True,True,False
aegospotami,True,True,False
aegospotamos,True,False,False
aegypius,True,True,False
aegyptopithecus,False,True,False
aeneas,True,True,False
aeneid,True,True,False
aengus,True,True,False
aeolia,True,False,False
aeolis,True,True,False
aeolus,True,True,False
aeonium,True,True,False
aepyceros,True,True,False
aepyornidae,True,False,False
aepyorniformes,True,False,False
aerobacter,True,False,False
aertex,False,True,False
aeschylus,True,True,False
aesculapius,True,False,False
aesculus,True,True,False
aesop,True,True,False
aethionema,True,True,False
aethusa,True,True,False
aetobatus,True,True,False
affirmed,True,True,False
afghanistan,True,True,False
aframomum,True,True,False
africa,True,True,False
afrikaans,False,True,False
afro,False,True,False
afrocarpus,True,True,False
afroeurasia,True,False,False
agalinis,True,True,False
agamemnon,True,True,False
agamidae,True,True,False
agapornis,True,False,False
agaricaceae,True,True,False
agaricales,True,True,False
agaricus,True,True,False
agassiz,True,False,False
agastache,True,True,False
agathis,True,True,False
agavaceae,True,False,False
agdestis,True,True,False
agdistis,True,True,False
agee,True,False,False
agelaius,True,True,False
ageratina,True,True,False
aggeus,True,False,False
aghan,False,True,False
agincourt,True,False,False
agkistrodon,True,True,False
aglaia,False,True,False
aglaomorpha,True,False,False
aglaonema,True,True,False
agnatha,True,True,False
