noun,start,end,length,senses,lexfile,register,domain,end_pressure,plural_suspect,also_proper_noun,in_wn30,definition
a,a,a,1,1,noun.communication,GENERAL,,0.75,False,True,False,the 1st letter of the Roman alphabet
aa,a,a,2,1,noun.substance,GENERAL,,0.75,False,False,True,a dry form of lava resembling clinkers
aalii,a,i,5,1,noun.plant,BIO,,0.19,False,False,True,a small Hawaiian tree with hard dark wood
aardvark,a,k,8,1,noun.animal,BIO,,1.76,False,False,True,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aardwolf,a,f,8,1,noun.animal,BIO,,0.11,False,False,True,striped hyena of southeast Africa that feeds chiefly on insects
ab,a,b,2,1,noun.body,MED,,0.07,False,True,True,the muscles of the abdomen
aba,a,a,3,2,noun.artifact,GENERAL,,0.75,False,False,True,a loose sleeveless outer garment made from aba cloth; worn by Arabs
abaca,a,a,5,2,noun.substance,GENERAL,,0.75,False,False,True,a kind of hemp obtained from the abaca plant in the Philippines
abacus,a,s,6,2,noun.artifact,GENERAL,,0.93,False,False,True,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abalone,a,e,7,1,noun.animal,BIO,,4.32,False,False,True,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
abamp,a,p,5,1,noun.quantity,GENERAL,,0.17,False,False,True,a unit of current equal to 10 amperes
abampere,a,e,8,1,noun.quantity,GENERAL,,4.32,False,False,True,a unit of current equal to 10 amperes
abandon,a,n,7,2,noun.attribute,GENERAL,,5.18,False,False,True,the trait of lacking restraint or control; reckless freedom from inhibition or worry
abandonment,a,t,11,3,noun.act,GENERAL,,1.53,False,False,True,the act of giving something up
abarticulation,a,n,14,1,noun.state,GENERAL,,5.18,False,False,True,dislocation of a joint
abasement,a,t,9,2,noun.state,GENERAL,,1.53,False,False,True,a low or downcast state
abashment,a,t,9,1,noun.feeling,GENERAL,,1.53,False,False,True,feeling embarrassed due to modesty
abasia,a,a,6,1,noun.state,GENERAL,,0.75,False,False,True,inability to walk
abatement,a,t,9,2,noun.event,GENERAL,,1.53,False,False,True,an interruption in the intensity or amount of something
