word,n,noun,propn,adj,verb,adv,other,dominant,noun_share,n_low,noun_low,propn_low
a,52719,79,118,2,1,2,52517,OTHER,0.001,49915,7,17
aa,10,8,1,0,0,0,1,NOUN,0.800,1,0,0
aaa,2,1,1,0,0,0,0,NOUN,0.500,0,0,0
aaaaaaaaaaaaaaaaa,1,0,0,0,0,0,1,OTHER,0.000,1,0,0
aaaaaggghhhhhh,1,0,0,0,0,0,1,OTHER,0.000,0,0,0
aaahhhh,1,0,0,0,0,0,1,OTHER,0.000,1,0,0
aaaw,1,1,0,0,0,0,0,NOUN,1.000,1,1,0
aaawww,1,0,0,0,0,0,1,OTHER,0.000,0,0,0
aaf,1,0,1,0,0,0,0,PROPN,0.000,0,0,0
aafia,10,0,10,0,0,0,0,PROPN,0.000,0,0,0
aah,1,0,0,0,0,0,1,OTHER,0.000,0,0,0
aahed,1,0,0,1,0,0,0,ADJ,0.000,1,0,0
aakrosh,1,0,1,0,0,0,0,PROPN,0.000,0,0,0
aan,1,1,0,0,0,0,0,NOUN,1.000,1,1,0
aand,2,1,1,0,0,0,0,NOUN,0.500,1,1,0
aapr,3,0,3,0,0,0,0,PROPN,0.000,0,0,0
aaps,1,0,1,0,0,0,0,PROPN,0.000,0,0,0
aaron,10,0,10,0,0,0,0,PROPN,0.000,0,0,0
aaround,1,1,0,0,0,0,0,NOUN,1.000,1,1,0
aaw,1,1,0,0,0,0,0,NOUN,1.000,1,1,0
ab,35,2,33,0,0,0,0,PROPN,0.057,1,1,0
aba,6,0,6,0,0,0,0,PROPN,0.000,0,0,0
aback,2,0,0,0,0,2,0,ADV,0.000,2,0,0
abacus,1,0,1,0,0,0,0,PROPN,0.000,0,0,0
abandon,30,3,0,0,27,0,0,VERB,0.100,26,3,0
abandoned,63,0,0,3,60,0,0,VERB,0.000,63,0,0
abandoning,12,0,0,0,12,0,0,VERB,0.000,11,0,0
abandonment,14,14,0,0,0,0,0,NOUN,1.000,14,14,0
abandons,1,0,0,0,1,0,0,VERB,0.000,1,0,0
abaringe,1,1,0,0,0,0,0,NOUN,1.000,1,1,0
abasement,2,2,0,0,0,0,0,NOUN,1.000,2,2,0
abate,2,0,0,0,2,0,0,VERB,0.000,2,0,0
abated,3,0,0,0,3,0,0,VERB,0.000,3,0,0
abatement,2,2,0,0,0,0,0,NOUN,1.000,2,2,0
abatements,1,1,0,0,0,0,0,NOUN,1.000,1,1,0
abating,1,0,0,0,1,0,0,VERB,0.000,1,0,0
abatuno,1,0,1,0,0,0,0,PROPN,0.000,0,0,0
abaut,1,0,0,0,0,1,0,ADV,0.000,1,0,0
abb,1,0,1,0,0,0,0,PROPN,0.000,0,0,0
abba,1,0,1,0,0,0,0,PROPN,0.000,0,0,0
abbas,16,0,16,0,0,0,0,PROPN,0.000,0,0,0
abbassi,1,0,1,0,0,0,0,PROPN,0.000,0,0,0
abbe,4,0,4,0,0,0,0,PROPN,0.000,0,0,0
abberations,1,1,0,0,0,0,0,NOUN,1.000,1,1,0
abbey,20,8,12,0,0,0,0,PROPN,0.400,2,2,0
abbot,7,2,5,0,0,0,0,PROPN,0.286,1,1,0
abbotsford,1,0,1,0,0,0,0,PROPN,0.000,0,0,0
abbott,6,0,6,0,0,0,0,PROPN,0.000,0,0,0
abbreviate,1,1,0,0,0,0,0,NOUN,1.000,1,1,0
abbreviated,7,0,0,6,1,0,0,ADJ,0.000,7,0,0
abbreviation,1,1,0,0,0,0,0,NOUN,1.000,1,1,0
abbreviations,6,3,3,0,0,0,0,NOUN,0.500,3,3,0
abbudi,2,0,2,0,0,0,0,PROPN,0.000,0,0,0
