word,scowl_size,scowl_pos,scowl_is_noun,scowl_noun_size,scowl_subtypes,scowl_dialects,scowl_variant_in,scowl_american_standard,scowl_senses,scowl_inflections,scowl_codes
a,35,n:1;pre:1,True,35,,,,True,,,
aa,70,n:1,True,70,,,,True,,,
aah,60,v:2,False,,,,,True,,"aahed-, aahing-, aahs-",
aalii,70,n:1,True,70,,,,True,,aaliis,
aardvark,35,n:2,True,35,,,,True,,"aardvarks, aardvark's",
aardwolf,70,n:1,True,70,,,,True,,"aardwolves, aardwolf's",
aargh,70,i:1,False,,,,,True,,,
ab,60,abbr:1;n:1,True,70,,,,True,,,
aba,70,n:1,True,70,,,,True,,abas,
abaca,70,n:1,True,70,,,,True,,abacas,
aback,35,av:1,False,,,,,True,,,
abacus,35,n:2,True,35,,,,True,,(abacuses | ~: abaci),
abaft,50,av:1,False,,,,,True,,,
abalone,50,n:1,True,50,,,,True,,"abalones, abalone's",
abamp,70,n:1,True,70,,,,True,,abamps,
abampere,70,n:1,True,70,,,,True,,abamperes,
abandon,35,v:1,False,,,,,True,,"abandoned, abandoning, abandons",
abandoned,35,aj:1,False,,,,,True,,,
abandonedly,70,av:1,False,,,,,True,,,
abandonment,35,n:1,True,35,,,,True,,,
abase,50,v:1,False,,,,,True,,"abased, abasing, abases",
abasement,50,n:1,True,50,,,,True,,,
abash,50,v:2,False,,,,,True,,"-, abashing, abashes | abashed, -, -",
abashed,40,aj:1,False,,,,,True,,,
abashedly,60,av:1,False,,,,,True,,,
abashment,60,n:1,True,60,,,,True,,,
abate,35,v:1,False,,,,,True,,"abated, abating, abates",
abatement,50,n:1,True,50,,,,True,,,
abatis,70,n:2,True,70,,,,True,,abatises,
abattoir,50,n:2,True,50,,,,True,,abattoirs,
abaxial,70,aj:1,False,,,,,True,,,
abaya,70,n:1,True,70,,,,True,,abayas,
abb,70,n:1,True,70,,,,True,,abbs,
abba,70,n:1,True,70,,,,True,,abbas,
abbacy,70,n:1,True,70,,,,True,,abbacies,
abbatial,70,aj:1,False,,,,,True,,,
abbe,50,n:1,True,50,,,,True,,"abbes, abbe's",_~
abbess,50,n:1,True,50,,,,True,,"abbesses, abbess's",
abbey,35,n:2,True,35,,,,True,,"abbeys, abbey's",
abbot,35,n:2,True,35,,,,True,,"abbots, abbot's",
abbr,40,abbr:1,False,,,,,True,,,_~
abbreviate,35,v:2,False,,,,,True,,"abbreviated, abbreviating, abbreviates",
abbreviated,70,aj:1,False,,,,,True,,,
abbreviation,35,n:1,True,35,,,,True,,abbreviations,
abbreviator,70,n:1,True,70,,,,True,,"abbreviators, abbreviator's",
abcoulomb,70,n:1,True,70,,,,True,,abcoulombs,
abdicate,35,v:2,False,,,,,True,,"abdicated, abdicating, abdicates",
abdication,35,n:2,True,35,,,,True,,abdications,
abdicator,70,n:1,True,70,,,,True,,"abdicators, abdicator's",
abdomen,35,n:1,True,35,,,,True,,abdomens,
abdominal,35,n:2;aj:1,True,70,,,,True,,abdominals,
abdominally,70,av:1,False,,,,,True,,,
abdominous,70,aj:1,False,,,,,True,,,
abduce,70,v:1,False,,,,,True,,"abduced, abducing, abduces",
abducent,70,n:1;aj:1,True,70,,,,True,,,
abduct,35,v:1,False,,,,,True,,"abducted, abducting, abducts",
abductee,50,n:2,True,50,,,,True,,abductee's | abductees,
abduction,40,n:1,True,40,,,,True,,abductions,
abductor,50,n:1,True,50,,,,True,,"abductors, abductor's",
abeam,50,av:1,False,,,,,True,,,
abecedarian,70,n:1;aj:1,True,70,,,,True,,"abecedarians, abecedarian's",
abed,50,av:1,False,,,,,True,,,
abele,70,n:1,True,70,,,,True,,abeles,
abelmosk,70,n:1,True,70,,,,True,,abelmosks,
aberrance,70,n:2,True,70,,,,True,,aberrances,
aberrancy,70,n:1,True,70,,,,True,,aberrancies,
aberrant,50,aj:1,False,,,,,True,,,
aberrantly,70,av:1,False,,,,,True,,,
aberration,35,n:2,True,35,,,,True,,aberrations,
aberrational,60,aj:1,False,,,,,True,,,
abessive,70,n:2,True,70,,,,True,,abessives,
abet,35,v:2,False,,,,,True,,"-, abetting, abets | abetted, -, -",
abetment,70,n:1,True,70,,,,True,,abetments,
abetter,50,n:1,True,50,,AB,A,False,,"abetters, abetter's",Av B
abettor,50,n:1,True,50,,ABC,B,True,,"abettors, abettor's",A Bv C
abeyance,50,n:1,True,50,,,,True,,,
abeyant,70,aj:1,False,,,,,True,,,
abfarad,70,n:1,True,70,,,,True,,abfarads,
abhenry,70,n:1,True,70,,,,True,,abhenries,
abhor,35,v:2,False,,,,,True,,"abhorred, abhorring, abhors",
abhorrence,35,n:1,True,35,,,,True,,,
abhorrent,35,aj:1,False,,,,,True,,,
abhorrently,60,av:1,False,,,,,True,,,
abhorrer,70,n:1,True,70,,,,True,,"abhorrers, abhorrer's",
abidance,60,n:1,True,60,,,,True,,,
abide,35,v:2,False,,,,,True,,"(abode | ~: abided), abiding, abides",
abider,70,n:1,True,70,,,,True,,abiders,
abiding,40,aj:1,False,,,,,True,,,
abidingly,60,av:1,False,,,,,True,,,
abigail,70,n:1,True,70,,,,True,,abigails,
ability,35,n:1,True,35,,,,True,,abilities,
abiogenesis,70,n:2,True,70,,,,True,,abiogeneses,
abiogenetic,70,aj:1,False,,,,,True,,,
abiosis,70,n:1,True,70,,,,True,,abioses,
abject,35,aj:1,False,,,,,True,,,
abjection,60,n:1,True,60,,,,True,,,
abjectly,50,av:1,False,,,,,True,,,
abjectness,60,n:1,True,60,,,,True,,,
abjuration,50,n:1,True,50,,,,True,,abjurations,
abjuratory,60,aj:1,False,,,,,True,,,
abjure,50,v:1,False,,,,,True,,"abjured, abjuring, abjures",
abjurer,60,n:1,True,60,,,,True,,"abjurers, abjurer's",
ablate,60,v:1,False,,,,,True,,"ablated, ablating, ablates",
ablation,60,n:2,True,60,,,,True,,ablations,
ablative,50,n:1;aj:1,True,50,,,,True,,ablatives,
ablaut,70,n:1,True,70,,,,True,,ablauts,
ablaze,35,aj:1,False,,,,,True,,,
able,35,aj:2;suf:1,False,,,,,True,,"abler, ablest",
ableism,70,n:1,True,70,,,,True,,ableisms,
ableist,70,n:1,True,70,,,,True,,ableists,
abloom,50,aj:1,False,,,,,True,,,
ablution,50,n:2,True,50,,,,True,,ablutions,
ably,35,av:1,False,,,,,True,,,
abmho,70,n:1,True,70,,,,True,,abmhos,
abnegate,50,v:1,False,,,,,True,,"abnegated, abnegating, abnegates",
abnegation,50,n:1,True,50,,,,True,,,
abnegator,70,n:1,True,70,,,,True,,"abnegators, abnegator's",
abnormal,35,aj:1,False,,,,,True,,,
abnormality,35,n:2,True,35,,,,True,,abnormalities,
abnormally,35,av:1,False,,,,,True,,,
abnormity,70,n:1,True,70,,,,True,,abnormities,
aboard,35,av:1;pp:1,False,,,,,True,,,
abode,35,n:2,True,35,,,,True,,abodes,
abohm,70,n:1,True,70,,,,True,,abohms,
abolish,35,v:2,False,,,,,True,,"-, -, abolishes | abolished, abolishing, -",
abolisher,70,n:1,True,70,,,,True,,abolishers,
abolishment,70,n:1,True,70,,,,True,,abolishments,
abolition,35,n:1,True,35,,,,True,,,
abolitionism,60,n:1,True,60,,,,True,,,
abolitionist,40,n:1,True,40,,,,True,,"abolitionists, abolitionist's",
abomasum,70,n:1,True,70,,,,True,,"abomasa, abomasum's, abomasa's",
abominable,35,aj:1,False,,,,,True,,,
abominably,50,av:1,False,,,,,True,,,
abominate,50,v:1,False,,,,,True,,"abominated, abominating, abominates",
abomination,35,n:2,True,35,,,,True,,"abominations, abomination's",
abominator,70,n:1,True,70,,,,True,,"abominators, abominator's",
aboral,70,aj:1,False,,,,,True,,,
aboriginal,35,n:2;aj:1,True,35,,,,True,,"aboriginals, aboriginal's",
aboriginally,70,av:1,False,,,,,True,,,
aborigine,35,n:1,True,35,,,,True,,"aborigines, aborigine's",
aborning,60,aj:1,False,,,,,True,,,
abort,35,v:1,False,,,,,True,,"aborted, aborting, aborts",
aborticide,70,n:1,True,70,,,,True,,aborticides,
abortifacient,70,n:1;aj:1,True,70,,,,True,,abortifacients,
abortion,35,n:1,True,35,,,,True,,abortions,
abortionist,50,n:1,True,50,,,,True,,"abortionists, abortionist's",
