noun,start,end,length,name,definition,wikipedia
aa,a,a,2,False,a dry form of lava resembling clinkers,
aalii,a,i,5,False,a small Hawaiian tree with hard dark wood,
aardvark,a,k,8,False,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata,"The aardvark ( ARD-vark; Orycteropus afer) is a medium-sized, burrowing, nocturnal mammal native to Africa."
aardwolf,a,f,8,False,striped hyena of southeast Africa that feeds chiefly on insects,"The aardwolf (Proteles cristatus) is an insectivorous species of hyena, native to East and Southern Africa."
ab,a,b,2,False,a bachelor's degree in arts and sciences,
aba,a,a,3,False,a loose sleeveless outer garment made from aba cloth; worn by Arabs,
abaca,a,a,5,False,a kind of hemp obtained from the abaca plant in the Philippines,
abacus,a,s,6,False,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave,"The abacus (pl.: abaci or abacuses), also called a counting frame, is a hand-operated calculating tool of unknown origin used since ancient times in the ancient Near East, Europe, China, and Russia, millennia before the adoption of the Hindu-Arabic numeral system.The abacus consists of a two-dimensional array of slidable beads (or similar objects)."
abalone,a,e,7,False,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior,"Abalone (  or ; via Spanish abulón, from  Rumsen aulón) is a common name for any of a group of small to very large marine gastropod molluscs in the family Haliotidae."
abamp,a,p,5,False,a unit of current equal to 10 amperes,
abampere,a,e,8,False,a unit of current equal to 10 amperes,"The abampere (abA), also called the biot (Bi) after Jean-Baptiste Biot, is the derived electromagnetic unit of electric current in the emu-cgs system of units (electromagnetic cgs)."
abandon,a,n,7,False,the trait of lacking restraint or control; reckless freedom from inhibition or worry,
abandonment,a,t,11,False,the act of giving something up,
abarticulation,a,n,14,False,dislocation of a joint,
abasement,a,t,9,False,a low or downcast state; - H.L.Menchken,
abashment,a,t,9,False,feeling embarrassed due to modesty,
abasia,a,a,6,False,inability to walk,"Abasia (from Greek: a-, without and basis, step) is the inability to walk owing to impairment in motor coordination.The term covers a spectrum of medical disorders such as:

choreic abasia: caused by chorea of the legs
paralytic abasia: caused by paralysis of the leg muscles
spastic abasia: caused by spastic stiffening of the leg muscles
trembling abasia: caused by trembling of the legsAbasia is frequently accompanied by astasis, an inability to stand, see Astasia-abasia."
abatement,a,t,9,False,an interruption in the intensity or amount of something,
abatis,a,s,6,False,a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy,"An abatis, abattis, or abbattis is a field fortification consisting of an obstacle formed (in the modern era) of the branches of trees laid in a row, with the sharpened tops directed outwards, towards the enemy."
abator,a,r,6,False,a person who abates a nuisance,
abattis,a,s,7,False,a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy,
abattoir,a,r,8,False,a building where animals are butchered,
abaya,a,a,5,False,(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women,"The abaya (colloquially and more commonly, Arabic: عباية ʿabāyah, especially in Literary Arabic: عباءة ʿabā'ah; plural عبايات ʿabāyāt, عباءات ʿabā'āt), sometimes also called an aba, is a simple, loose over-garment, essentially a robe-like dress, worn by some women in parts of the Muslim world including North Africa, the Horn of Africa, the Arabian Peninsula and most of the Middle East."
abbacy,a,y,6,False,the jurisdiction or office of an abbot,
abbe,a,e,4,False,a French abbot,
abbess,a,s,6,False,the superior of a group of nuns,"An abbess (Latin: abbatissa), also known as a mother superior, is the female superior of a community of Catholic nuns in an abbey."
abbey,a,y,5,False,a church associated with a monastery or convent,An abbey is a type of monastery used by members of a religious order under the governance of an abbot or abbess.
abbot,a,t,5,False,the superior of an abbey of monks,"Abbot is an ecclesiastical title given to the male head of a monastery in various Western religious traditions, including Christianity."
abbreviation,a,n,12,False,a shortened form of a word or phrase,"An abbreviation (from Latin brevis, meaning ""short"") is a shortened form of a word or phrase, by any method."
abbreviator,a,r,11,False,one who shortens or abridges or condenses a written work,"An abbreviator (plural ""abbreviators"" in English, abbreviatores in Latin) or breviator was a writer of the Papal Chancery who adumbrated and prepared in correct form Papal bulls, briefs, and consistorial decrees before these were written out in extenso by the scriptores.They are first mentioned in the Papal bull Extravagantes of Pope John XXII and in a Papal bull of Pope Benedict XII.After the protonotaries left the adumbration of the minutes to the Abbreviators, those de Parco majori of the dignity of prelate were the most important officers of the Papal Chancery."
abcoulomb,a,b,9,False,a unit of electrical charge equal to 10 coulombs,The abcoulomb (abC or aC) or electromagnetic unit of charge (emu of charge) is the derived physical unit of electric charge in the cgs-emu system of units.
abdication,a,n,10,False,a formal resignation and renunciation of powers,Abdication is the act of formally relinquishing monarchical authority.
abdicator,a,r,9,False,one who formally relinquishes an office or responsibility,
abdomen,a,n,7,False,the region of the body of a vertebrate between the thorax and the pelvis,"The abdomen (colloquially called the belly, tummy, midriff, tucky or stomach) is the part of the body between the thorax (chest) and pelvis, in humans and in other vertebrates."
abdominal,a,l,9,False,the muscles of the abdomen,
abdominocentesis,a,s,16,False,centesis of the belly to remove fluid for diagnosis,
abdominoplasty,a,y,14,False,cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach,"Abdominoplasty or ""tummy tuck"" is a cosmetic surgery procedure used to make the abdomen thinner and more firm."
abdominousness,a,s,14,False,the bodily property of a protruding belly,
abducens,a,s,8,False,a small motor nerve supplying the lateral rectus muscle of the eye,
abducent,a,t,8,False,a small motor nerve supplying the lateral rectus muscle of the eye,
abduction,a,n,9,False,the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife,
abductor,a,r,8,False,someone who unlawfully seizes and detains a victim (usually for ransom),
abecedarian,a,n,11,False,a novice learning the rudiments of some subject,Abecedarians were a 16th-century German sect of Anabaptists who rejected all human learning.
abecedarius,a,s,11,False,a poem having lines beginning with letters of the alphabet in regular order,"An abecedarius (also abecedary and abecedarian) is a special type of acrostic in which the first letter of every word, strophe or verse follows the order of the letters in the alphabet."
abele,a,e,5,False,a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces,
abelia,a,a,6,False,any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers; Asia and Mexico,"Abelia  is a previously recognized genus that contained about 30 species and hybrids, placed in the honeysuckle family, Caprifoliaceae."
abelmosk,a,k,8,False,bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus,
aberrance,a,e,9,False,a state or condition markedly different from the norm,
aberrancy,a,y,9,False,a state or condition markedly different from the norm,
aberrant,a,t,8,False,one whose behavior departs substantially from the norm of a group,"Aberrant is a role-playing game created by White Wolf Game Studio in 1999, set in 2008 in a world where super-powered humans started appearing one day in 1998."
aberration,a,n,10,False,a state or condition markedly different from the norm,
abetalipoproteinemia,a,a,20,False,a rare inherited disorder of fat metabolism; characterized by severe deficiency of beta-lipoproteins and abnormal red blood cells (acanthocytes) and abnormally low cholesterol levels,"Abetalipoproteinemia (also known as: Bassen–Kornzweig syndrome, microsomal triglyceride transfer protein deficiency disease, MTP deficiency, and betalipoprotein deficiency syndrome) is a disorder characterized by abnormal absorption of fat and fat-soluble vitamins from food."
abetment,a,t,8,False,the verbal act of urging on,
abettal,a,l,7,False,the verbal act of urging on,
abetter,a,r,7,False,one who helps or encourages or incites another,
abettor,a,r,7,False,one who helps or encourages or incites another,
abeyance,a,e,8,False,temporary cessation or suspension,"Abeyance (from the Old French abeance meaning ""gaping"") is a state of expectancy in respect of property, titles or office, when the right to them is not vested in any one person, but awaits the appearance or determination of the true owner."
abfarad,a,d,7,False,a capacitance unit equal to one billion farads,
abhenry,a,y,7,False,a unit of inductance equal to one billionth of a henry,"The abhenry is the CGS (centimetre–gram–second) electromagnetic unit of inductance, corresponding to one billionth of a henry (1 nH)."
abhorrence,a,e,10,False,hate coupled with disgust,Abhorrence is a Finnish death metal band originally formed in 1989.
abhorrer,a,r,8,False,a signer of a 1679 address to Charles II in which those who petitioned for the reconvening of parliament were condemned and abhorred,
abidance,a,e,8,False,acting according to certain accepted standards,
abience,a,e,7,False,(psychology) an urge to withdraw or avoid a situation or an object,
ability,a,y,7,False,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,Abilities are powers an agent has to perform various actions.
abiogenesis,a,s,11,False,a hypothetical organic phenomenon by which living organisms are created from nonliving matter,"In biology, abiogenesis (from Greek  ἀ- a- 'not' + βῐ́ος bios 'life' + γένεσις genesis 'origin') or the origin of life is the natural process by which life has arisen from non-living matter, such as simple organic compounds."
abiogenist,a,t,10,False,a believer in abiogenesis,
abiotrophy,a,y,10,False,a loss of vitality and a degeneration of cells and tissues not due to any apparent injury,
abjection,a,n,9,False,a low or downcast state; - H.L.Menchken,"In critical theory, abjection is the state of being cast off and separated from norms and rules, especially on the scale of society and morality."
abjuration,a,n,10,False,a disavowal or taking back of a previous assertion,"Abjuration is the solemn repudiation, abandonment, or renunciation by or upon oath, often the renunciation of citizenship or some other right or privilege."
abjurer,a,r,7,False,a person who abjures,
ablactation,a,n,11,False,the cessation of lactation,
ablation,a,n,8,False,surgical removal of a body part or tissue,"Ablation (Latin: ablatio – removal) is the removal or destruction of something from an object by vaporization, chipping,  erosive processes, or by other means."
ablative,a,e,8,False,the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb,
ablaut,a,t,6,False,a vowel whose quality or length is changed to indicate linguistic distinctions (such as sing sang sung song),
