noun,wikipedia
aardvark,"The aardvark ( ARD-vark; Orycteropus afer) is a medium-sized, burrowing, nocturnal mammal native to Africa."
aardwolf,"The aardwolf (Proteles cristatus) is an insectivorous species of hyena, native to East and Southern Africa."
abacus,"The abacus (pl.: abaci or abacuses), also called a counting frame, is a hand-operated calculating tool of unknown origin used since ancient times in the ancient Near East, Europe, China, and Russia, millennia before the adoption of the Hindu-Arabic numeral system.The abacus consists of a two-dimensional array of slidable beads (or similar objects)."
abalone,"Abalone (  or ; via Spanish abulón, from  Rumsen aulón) is a common name for any of a group of small to very large marine gastropod molluscs in the family Haliotidae."
abampere,"The abampere (abA), also called the biot (Bi) after Jean-Baptiste Biot, is the derived electromagnetic unit of electric current in the emu-cgs system of units (electromagnetic cgs)."
abasia,"Abasia (from Greek: a-, without and basis, step) is the inability to walk owing to impairment in motor coordination.The term covers a spectrum of medical disorders such as:

choreic abasia: caused by chorea of the legs
paralytic abasia: caused by paralysis of the leg muscles
spastic abasia: caused by spastic stiffening of the leg muscles
trembling abasia: caused by trembling of the legsAbasia is frequently accompanied by astasis, an inability to stand, see Astasia-abasia."
abatis,"An abatis, abattis, or abbattis is a field fortification consisting of an obstacle formed (in the modern era) of the branches of trees laid in a row, with the sharpened tops directed outwards, towards the enemy."
abaya,"The abaya (colloquially and more commonly, Arabic: عباية ʿabāyah, especially in Literary Arabic: عباءة ʿabā'ah; plural عبايات ʿabāyāt, عباءات ʿabā'āt), sometimes also called an aba, is a simple, loose over-garment, essentially a robe-like dress, worn by some women in parts of the Muslim world including North Africa, the Horn of Africa, the Arabian Peninsula and most of the Middle East."
abbess,"An abbess (Latin: abbatissa), also known as a mother superior, is the female superior of a community of Catholic nuns in an abbey."
abbey,An abbey is a type of monastery used by members of a religious order under the governance of an abbot or abbess.
abbot,"Abbot is an ecclesiastical title given to the male head of a monastery in various Western religious traditions, including Christianity."
abbreviation,"An abbreviation (from Latin brevis, meaning ""short"") is a shortened form of a word or phrase, by any method."
abbreviator,"An abbreviator (plural ""abbreviators"" in English, abbreviatores in Latin) or breviator was a writer of the Papal Chancery who adumbrated and prepared in correct form Papal bulls, briefs, and consistorial decrees before these were written out in extenso by the scriptores.They are first mentioned in the Papal bull Extravagantes of Pope John XXII and in a Papal bull of Pope Benedict XII.After the protonotaries left the adumbration of the minutes to the Abbreviators, those de Parco majori of the dignity of prelate were the most important officers of the Papal Chancery."
abcoulomb,The abcoulomb (abC or aC) or electromagnetic unit of charge (emu of charge) is the derived physical unit of electric charge in the cgs-emu system of units.
abdication,Abdication is the act of formally relinquishing monarchical authority.
abdomen,"The abdomen (colloquially called the belly, tummy, midriff, tucky or stomach) is the part of the body between the thorax (chest) and pelvis, in humans and in other vertebrates."
abdominoplasty,"Abdominoplasty or ""tummy tuck"" is a cosmetic surgery procedure used to make the abdomen thinner and more firm."
abecedarian,Abecedarians were a 16th-century German sect of Anabaptists who rejected all human learning.
abecedarius,"An abecedarius (also abecedary and abecedarian) is a special type of acrostic in which the first letter of every word, strophe or verse follows the order of the letters in the alphabet."
abelia,"Abelia  is a previously recognized genus that contained about 30 species and hybrids, placed in the honeysuckle family, Caprifoliaceae."
aberrant,"Aberrant is a role-playing game created by White Wolf Game Studio in 1999, set in 2008 in a world where super-powered humans started appearing one day in 1998."
abetalipoproteinemia,"Abetalipoproteinemia (also known as: Bassen–Kornzweig syndrome, microsomal triglyceride transfer protein deficiency disease, MTP deficiency, and betalipoprotein deficiency syndrome) is a disorder characterized by abnormal absorption of fat and fat-soluble vitamins from food."
abeyance,"Abeyance (from the Old French abeance meaning ""gaping"") is a state of expectancy in respect of property, titles or office, when the right to them is not vested in any one person, but awaits the appearance or determination of the true owner."
abhenry,"The abhenry is the CGS (centimetre–gram–second) electromagnetic unit of inductance, corresponding to one billionth of a henry (1 nH)."
abhorrence,Abhorrence is a Finnish death metal band originally formed in 1989.
ability,Abilities are powers an agent has to perform various actions.
abiogenesis,"In biology, abiogenesis (from Greek  ἀ- a- 'not' + βῐ́ος bios 'life' + γένεσις genesis 'origin') or the origin of life is the natural process by which life has arisen from non-living matter, such as simple organic compounds."
abjection,"In critical theory, abjection is the state of being cast off and separated from norms and rules, especially on the scale of society and morality."
abjuration,"Abjuration is the solemn repudiation, abandonment, or renunciation by or upon oath, often the renunciation of citizenship or some other right or privilege."
ablation,"Ablation (Latin: ablatio – removal) is the removal or destruction of something from an object by vaporization, chipping,  erosive processes, or by other means."
ableism,"Ableism (; also known as ablism, disablism (British English), anapirophobia, anapirism, and disability discrimination) is discrimination and social prejudice against people with physical or mental disabilities."
abohm,"The abohm is the derived unit of electrical resistance in the emu-cgs (centimeter-gram-second) system of units (emu stands for ""electromagnetic units"")."
abolitionism,"Abolitionism, or the abolitionist movement, is the movement to end slavery and liberate enslaved people around the world."
abomasum,"The abomasum, also known as the maw, rennet-bag, or reed tripe, is the fourth and final stomach compartment in ruminants."
abortifacient,"An abortifacient (""that which will cause a miscarriage"" from Latin: abortus ""miscarriage"" and faciens ""making"") is a substance that induces abortion."
abortion,Abortion is the termination of a pregnancy by removal or expulsion of an embryo or fetus.
abracadabra,"Abracadabra is a magic word, historically used as an incantation on amulets and common today in stage magic."
abrasive,"An abrasive is a material, often a mineral, that is used to shape or finish a workpiece through rubbing which leads to part of the workpiece being worn away by friction."
abreaction,Abreaction (German: Abreagieren) is a psychoanalytical term for reliving an experience to purge it of its emotional excesses—a type of catharsis.
abridgement,An abridgement (or abridgment) is a condensing or reduction of a book or other creative work into a shorter form while maintaining the unity of the source.
abscess,An abscess is a collection of pus that has built up within the tissue of the body.
abscission,"Abscission (from Latin  ab- 'away', and  scindere 'to cut') is the shedding of various parts of an organism, such as a plant dropping a leaf, fruit, flower, or seed."
absenteeism,Absenteeism is a habitual pattern of absence from a duty or obligation without good reason.
absinthe,"Absinthe (, French: [apsɛ̃t] ) is an anise-flavored spirit derived from several plants, including the flowers and leaves of Artemisia absinthium (""grand wormwood""), together with green anise, sweet fennel, and other medicinal and culinary herbs."
absolution,Absolution is a theological term for the forgiveness imparted by ordained Christian priests and experienced by Christian penitents.
absolver,"Absolver is a martial arts-themed action role-playing video game developed by Sloclap and published by Devolver Digital for PlayStation 4, Windows, and Xbox One."
absorbance,"Absorbance is defined as ""the logarithm of the ratio of incident to transmitted radiant power through a sample (excluding the effects on cell walls)""."
absorber,"In high energy physics experiments, an absorber is a block of material used to absorb some of the energy of an incident particle in an experiment."
absorptance,"In the study of heat transfer, absorptance of the surface of a material is its effectiveness in absorbing radiant energy."
abstention,"Abstention is a term in election procedure for when a participant in a vote either does not go to vote (on election day) or, in parliamentary procedure, is present during the vote but does not cast a ballot."
abstinence,Abstinence is the practice of self-enforced restraint from indulging in bodily activities that are widely experienced as giving pleasure.
abstraction,"Abstraction is a process wherein general rules and concepts are derived from the usage and classification of specific examples, literal (real or concrete) signifiers, first principles, or other methods."
abstractionism,"Abstractionism is the theory that the mind obtains some or all of its concepts by abstracting them from concepts it already has, or from experience."
absurdity,"Absurdity is a state or condition of being extremely unreasonable, meaningless or unsound in reason so as to be irrational or not taken seriously."
abulia,"In neurology, abulia, or aboulia (from Ancient Greek: βουλή, meaning ""will""), refers to a lack of will or initiative and can be seen as a disorder of diminished motivation (DDM)."
abuse,"Abuse is the improper usage or treatment of a thing, often to unfairly or improperly gain benefit."
abutment,An abutment is the substructure at the ends of a bridge span or dam supporting its superstructure.
abutter,An abutter is a person (or entity) whose property is adjacent to the property of another.
