word,zipf,countable,uncountable,n_senses,first_gloss,variant_of,flag_reason,wikt_pos_list,wikt_dominant_pos,wikt_abbrev,corpus_n,corpus_dominant,corpus_noun_share,corpus_tag,corpus_name,likely_noun,name_suspect,pos_tags,lemma,pos_overlap,plural_of,verdict,scowl_verdict,scowl_size,scowl_pos,scowl_american_standard
english,5.19,0,1,2,"Spinning or rotary motion given to a ball around the vertical axis, as in pool, billiards or bowling; spin, sidespin.",,,noun:2;verb:1,noun,False,351,PROPN,0.009,,False,True,False,,,adjective-like (morphology),,,nonnoun,70,v:1,True
luxe,2.99,0,1,1,Luxury.,,,adj:1;noun:1,adj,False,2,NOUN,0.5,,False,True,False,,,,,,nonnoun,70,aj:1,True
arty,2.99,0,0,2,Artillery.,,,adj:2;noun:2,adj,False,2,ADJ,0.0,,False,True,False,,,,,,nonnoun,50,aj:2,True
clem,2.98,0,0,3,A brick or stone.,,,noun:3;verb:2,noun,False,1,PROPN,0.0,,False,True,False,,,,,,nonnoun,70,v:1,True
caloric,2.98,0,1,1,The hypothetical medium of heat.,,,adj:4;noun:1,adj,False,3,ADJ,0.0,,False,True,False,ADJ;NOUN,,"noun, also adjective",,,nonnoun,50,aj:1,True
sapiens,2.97,0,0,1,A human being (Homo sapiens).,,,noun:1,noun,False,2,ADJ,0.0,,False,True,False,,,,sapien,,nonnoun,60,aj:1,True
teleport,2.97,0,0,2,Synonym of teleporter (“science fiction device”).,,,noun:2;verb:2,noun,False,0,,,,False,True,False,,,,,,nonnoun,60,v:2,True
arable,2.96,0,1,1,"Land that can be cropped (i.e., land that is arable); land that is being cropped (i.e., land that is in the cropping phase of a crop rotation, currently being cropped rather than used as pasture or fa",,,adj:2;noun:1,adj,False,4,ADJ,0.0,,False,True,False,ADJ;NOUN,,"noun, also adjective",,,nonnoun,35,aj:1,True
fantastical,2.96,0,0,1,Something that is fantastical.,,,adj:3;noun:1,adj,False,1,ADJ,0.0,,False,True,False,,,adjective-like (morphology),,,nonnoun,60,aj:1,True
obstructive,2.96,0,0,1,One who obstructs something.,,,adj:1;noun:1,adj,False,0,,,,False,True,False,ADJ;NOUN,,"noun, also adjective",,,nonnoun,35,aj:1,True
