word,zipf,countable,uncountable,n_senses,first_gloss,variant_of,flag_reason,wikt_pos_list,wikt_dominant_pos,wikt_abbrev,corpus_n,corpus_dominant,corpus_noun_share,corpus_tag,corpus_name,likely_noun,name_suspect,pos_tags,lemma,pos_overlap,plural_of,verdict,scowl_verdict,scowl_size,scowl_pos,scowl_american_standard
you,6.98,0,0,1,The name of the Latin script letter U/u.,,closed-class function word,pron:8;det:3;noun:1;verb:1,pron,False,16655,OTHER,0.0,,False,False,False,NOUN,,,,,noun,35,n:2;pn:1,True
it,6.95,0,0,9,One who is neither a he nor a she; a creature; a dehumanized being.,It,closed-class function word,pron:14;noun:9;adj:1;det:1,pron,False,22749,OTHER,0.001,,False,False,False,NOUN,,,,,noun,35,n:2;pn:1,True
all,6.52,1,1,3,Everything that one is capable of.,,closed-class function word,adv:5;det:4;pron:4;noun:3;adj:1;conj:1,adv,False,6540,OTHER,0.001,,False,False,False,NOUN,,,,,noun,35,n:1;aj:1;av:1;pre:1,True
if,6.47,0,0,1,"An uncertainty, possibility, condition, doubt etc.",,closed-class function word,conj:10;noun:1,conj,False,6033,OTHER,0.0,,False,False,False,,,,,,noun,35,n:2;c:1,True
up,6.39,1,1,4,The direction opposed to the pull of gravity.,,closed-class function word,adj:30;adv:19;prep:7;verb:6;noun:4,adj,False,4831,OTHER,0.005,,False,False,False,ADJ;ADV;NOUN;VERB,,"noun, also adjective/verb/adverb",,,noun,35,n:2;v:2;aj:1;av:1;pp:1;pre:1,True
what,6.38,1,1,3,Something; thing; stuff.,,closed-class function word,det:5;intj:5;pron:4;noun:3;particle:3;adv:2,det,True,5491,OTHER,0.0,,False,False,False,NOUN,,,,,noun,35,n:2;a:1;pn:1;i:1,True
her,6.3,0,0,1,A female person or animal.,,closed-class function word,det:2;noun:1;pron:1,det,False,4908,OTHER,0.0,,False,False,False,NOUN,,,,,noun,35,n:2;a:1;pn:1,True
she,6.26,0,0,1,A female.,,closed-class function word,pron:6;det:1;noun:1;verb:1,pron,False,5069,OTHER,0.0,,False,False,False,NOUN,,,,,noun,35,n:2;pn:1,True
how,6.24,0,0,3,The means by which something is accomplished.,,closed-class function word,adv:13;noun:3;intj:2;conj:1,adv,False,2623,OTHER,0.0,,False,False,False,ADV;NOUN,,"noun, also adverb",,,noun,35,n:2;av:1;c:1,True
him,6.11,0,0,1,A male person or animal.,,closed-class function word,pron:8;noun:1,pron,False,3897,OTHER,0.0,,False,False,False,NOUN,,,,,noun,35,n:2;pn:1,True
where,6.0,0,0,1,The place in which something happens.,,closed-class function word,adv:8;conj:2;noun:1;pron:1,adv,False,2190,OTHER,0.0,,False,False,False,ADV;NOUN,,"noun, also adverb",,,noun,35,n:2;a:1;c:1,True
many,5.91,0,0,2,A multitude; a great aggregate; a mass of people; the generality; the common herd.,,closed-class function word,det:2;noun:2;adj:1;pron:1,det,False,2370,ADJ,0.014,,False,False,False,NOUN,,,,,noun,35,n:1;aj:1,True
