word,group,scowl_pos,scowl_noun_size,wikt_noun,wikt_gloss,verdict
amplicon,sequence,,,True,"A piece of DNA or RNA formed as the product of natural or artificial amplification events, as in a polymerase chain reaction",
anticodon,sequence,,,True,A sequence of three nucleotides in transfer RNA that binds to the complementary triplet (codon) in messenger RNA to specify an amino acid during protein synthesis.,
aptamer,sequence,,,True,"Any subsequence of nucleic acid, selected from a large random sequence-pool, used to bind to a specific target molecule.",
basecalling,alignment,,,True,The assigning of the names of bases to chromatogram peaks,
bedgraph,formats,,,False,,
biocuration,omics,,,True,"The organization, representation and making accessible of biological data to both humans and computers",
bioinformatics,omics,,,True,"A field of science in which biology, computer science, and information technology merge into a single discipline to analyse biological information using computers and statistical techniques.",
cheminformatics,omics,,,True,Any of many applications of information technology to chemistry,
chemoinformatics,omics,,,True,Alternative form of cheminformatics.,
chimerism,variation,,,True,The property of being a genetic chimera.,
coalescent,phylogeny,aj:1,,True,Any agent that causes coalescence.,
connectome,sequence,,,True,The complete mapping of the structural links in an organism's neural circuitry.,
contig,sequence,,,True,"A set of overlapping DNA segments, derived from a single source of genetic material, from which the complete sequence may be deduced.",
crispr,methods,,,False,Segments of bacteria and archaea DNA containing short repetitions of base sequences.,
curation,methods,,,True,"The act of curating, of organizing and maintaining a collection of artworks or artifacts.",
cytometry,omics,,,True,The measurement or the counting and classification of cells,
deconvolution,methods,,,True,The inversion of a convolution equation; does not normally have unique solution,
demultiplexing,alignment,,,False,,
dendrogram,phylogeny,,,True,A treelike diagram used to show the ancestors and descendants of species.,
epigenome,sequence,,,True,The total epigenetic state of a cell.,
epigenomics,omics,,,True,The study of the effects of chromatin structure on the function of the included genes.,
exome,sequence,,,True,The complete exon content of an organism or individual; the subset of the genome that excludes introns.,
fasta,formats,,,False,,
fastq,formats,,,False,,
flowcell,omics,,,True,Alternative spelling of flow cell.,
frameshift,sequence,,,True,A frameshift mutation.,
genotyping,variation,,,True,The process of determining a genotype,
glycome,sequence,,,True,"All the polysaccharides, glycosides and similar carbohydrate-related compounds in an organism considered as a whole.",
glycosylation,structure,,,True,The reaction of a saccharide with a hydroxy or amino functional group to form a glycoside; especially the reaction with a protein or lipid to form a glycoprotein or glycolipid.,
haplogroup,variation,,,True,A group of closely related haplotypes.,
immunoprecipitation,omics,,,True,"A technique in which an antigen is precipitated from solution by using an antibody, or a particular use of this technique.",
indel,sequence,,,True,Either an insertion or deletion mutation in the genetic code.,
interactome,sequence,,,True,All the interactions between biological entities in cells and organisms considered as a whole.,
isoform,structure,,,True,"Any of several different forms of the same protein, arising from either single nucleotide polymorphisms, differential splicing of mRNA, or post-translational modifications (e.g. sulfation, glycosylati",
kinome,sequence,,,True,The set of all kinases expressed in a cell or contained in a genome.,
kmer,alignment,,,True,"A motif of length ""k""",
lipidome,sequence,,,True,The set of all lipids in a cell or organism,
metabolome,sequence,,,True,"The complete set of metabolites found in a biological sample; especially that found in a person's body under normal conditions, and when suffering from a disease.",
metabolomics,omics,,,True,"The study of the range of metabolites present in a person's body at normal times, and when suffering from specific diseases; may be useful as a diagnostic tool.",
metagenome,sequence,,,True,"All the genetic material present in an environmental sample, consisting of the genomes of many individual organisms.",
metagenomics,omics,,,True,"The study of genomes recovered from environmental samples; especially the differentiation of genomes from multiple organisms or individuals, either in a symbiotic relationship, or at a crime scene.",
methylation,structure,,,True,The addition of a methyl group to a molecule.,
methylome,sequence,,,True,The set of nucleic acid methylation modifications in an organism's genome or in a particular cell.,
microarray,omics,,,True,"Any of several devices, containing a two-dimensional array of small quantities of biological material, used for various types of assay; the assay itself",
monophyly,phylogeny,,,True,"In cladistics, the condition of being monophyletic, of including all descendants from a given ancestral species.",
multiplexing,alignment,,,True,The simultaneous transmission of multiple signals on the same channel.,
nanopore,omics,,,True,"A pore, of nanometre dimensions, in a membrane",
newick,formats,,,False,,
nucleosome,sequence,,,True,Any of the subunits that repeat in chromatin; a coil of DNA surrounding a core of eight histones.,
oligomer,structure,,,True,"A compound intermediate between a monomer and a polymer, normally having a specified number of units between about five and a hundred.",
ortholog,sequence,,,True,Any of two or more homologous gene sequences found in different species related by linear descent.,
outgroup,phylogeny,,,True,The group of people who do not belong to one's own social group.,
overfitting,methods,,,True,"The production of a statistical model that, due to an excess of parameters relative to the sample size, fits the sample data extremely well but fails to fit new data.",
paralog,sequence,,,True,either of a pair of genes that derive from the same ancestral gene,
paraphyly,phylogeny,,,True,The condition of being paraphyletic,
paratope,structure,,,True,That part of the molecule of an antibody that binds to an antigen.,
pharmacogenomics,omics,,,True,"The study of genes that code for enzymes that metabolize drugs, and the design of tailor-made drugs adapted to an individual's genetic make-up.",
pharmacophore,structure,,,True,The molecular framework responsible for a drug's biological activity,
phenome,sequence,,,True,"The whole set of phenotypic entities in a cell, tissue, organ, organisms, and species. This includes phenotypic traits with genotypic origins.",
phylogenetics,phylogeny,,,True,"The study of the evolutionary history and relationships among or within groups of organisms, through computational methods that focus on observed heritable traits.",
phylogenomics,phylogeny,,,True,The science that studies the relationship of the function of genes to their evolution.,
polytomy,phylogeny,,,True,A section of a phylogeny in which the evolutionary relationships cannot be fully resolved to dichotomies.,
proteoform,structure,,,True,A specific molecular form of a protein product arising from a specific gene.,
protomer,structure,,,True,Any prototropic tautomer.,
pseudogene,sequence,,,True,"A segment of DNA that is part of the genome of an organism, and which is similar to a gene but does not code for a gene product.",
pyrosequencing,omics,,,True,A technique used to sequence DNA using chemiluminescent enzymatic reactions.,
regulon,sequence,,,True,A group of genes that are regulated by the same regulatory molecule. The genes of a regulon share a common regulatory element binding site or promoter. The genes comprising a regulon may be located no,
resistome,sequence,,,True,All the genes (in a bacterium) that confer resistance to antibiotics,
retrotransposon,sequence,,,True,A transposable fragment of a genome that can undergo retrotransposition.,
riboswitch,sequence,,,True,"A segment within the leading end of a messenger RNA transcript that is able to gauge the cell's need for the protein encoded by the rest of the message, then to rearrange its shape to control whether ",
ribozyme,sequence,,,True,A fragment of RNA that can act as an enzyme.,
rotamer,structure,,,True,any of a set of conformers that arise from restricted rotation around a single bond,
sidechain,structure,,,True,Alternative form of side chain.,
spliceosome,sequence,,,True,A dynamic complex of RNA and protein subunits that removes introns from precursor mRNA.,
synapomorphy,phylogeny,,,True,A derived trait that is shared by two or more taxa of shared ancestry.,
tetramer,structure,,,True,An oligomer having four subunits.,
traceback,alignment,,,True,Determination of origin; the process of tracing something back to its source.,
transcriptome,sequence,,,True,The complete set of RNA molecules (transcripts) produced in a cell or a population of cells.,
transcriptomics,omics,,,True,The study of the transcriptome of a species or individual,
transfection,methods,,,True,The introduction of foreign genetic material (such as DNA or RNA) into a eukaryotic cell.,
transversion,variation,,,True,"A point mutation in which a purine is replaced with a pyrimidine, or vice versa",
ubiquitination,structure,,,True,The modification of a protein by the covalent attachment of one or more ubiquitin molecules.,
virome,sequence,,,True,The genomes of all the viruses that inhabit a particular organism or environment.,
