word,group,scowl_pos,scowl_noun_size,wikt_noun,wikt_gloss,verdict
anechoicity,ultrasound,,,False,,
backprojection,image,,,True,Alternative form of back projection.,
cholangiogram,modality,,,True,A diagnostic image produced by cholangiography.,
cystogram,modality,,,True,A diagnostic image produced by cystography.,
cystography,modality,,,True,A procedure used to visualize the urinary bladder by means of X-rays.,
dephasing,mri,,,True,"A loss of the synchronization or coherence caused by a perturbation, upon which the system returns to its state before perturbation.",
dosimetrist,clinical,,,True,One who carries out dosimetry.,
echogenicity,ultrasound,,,True,The ability to create an echo that can be detected in an ultrasound examination.,
elastography,modality,,,True,A method of detection or classification of tumors based on stiffness or elasticity of tissue.,
fluence,xray,,,True,Fluency,
fluorodeoxyglucose,nuclear,,,True,A fluorine analog of glucose that is used in positron emission tomography,
hyperdensity,clinical,,,True,An unusually high density (on an X-ray plate etc),
hyperintensity,clinical,,,True,"An area of high intensity (for example, as seen in magnetic resonance imaging).",
hypodensity,clinical,,,True,"An area of an X-ray image that is less dense than normal, or than the surrounding areas",
hypointensity,clinical,,,True,"A less than normal intensity (for example, as seen in magnetic resonance imaging).",
hysterosalpingography,modality,,,True,"An X-ray test that uses contrast dye to examine the uterus and fallopian tubes, mainly to check their shape and whether the tubes are open, often as part of infertility evaluation.",
insonation,ultrasound,,,True,"Exposure to, or treatment with, ultrasound.",
isocenter,image,,,True,Alternative form of isocentre.,
isosurface,image,,,True,A surface that represents points of a constant value within a volume of space,
kerma,xray,,,True,"The sum of the initial kinetic energies of all the charged particles liberated by uncharged ionizing radiation (neutrons and photons) in a sample of matter, divided by the mass of the sample.",
microbubble,ultrasound,,,True,"A microscale bubble, used in medical diagnostics as a contrast agent for ultrasound imaging.",
nephrogram,clinical,,,True,The diagnostic image produced by nephrography.,
photopeak,nuclear,,,True,That part of the gamma ray spectrum of a material caused by the photoelectric effect,
radiolucency,xray,,,True,The quality or degree of being radiolucent.,
radiolucent,xray,aj:1,,False,,
radiopaque,xray,aj:1,,False,,
radiopharmacy,nuclear,,,True,The administration of radiopharmaceuticals.,
radiotracer,nuclear,,,True,A radioactive tracer; a radiolabel,
rephasing,mri,,,True,A restoration of the phase of a system.,
scintigraphy,modality,,,True,"A radiographic technique, using radioactive tracers, for the diagnosis of injuries to bones",
sensitometry,xray,,,True,"The scientific study of light-sensitive materials, especially photographic film.",
sialography,modality,,,True,The radiographic examination of the salivary glands.,
sinogram,image,,,True,Any character used in Chinese writing.,
sonographer,ultrasound,,,True,Synonym of ultrasonographer,
tomosynthesis,modality,,,True,The creation of a 3D image of part of the body by digital processing of multiple X-rays.,
urogram,modality,,,True,"An image of the urinary tract, taken by X-ray.",
urography,modality,,,True,Radiography of the urinary tract.,
ventriculography,modality,,,True,"Imaging of ventricles, usually in the heart.",
volumetry,modality,,,True,volumetric analysis,
voxel,image,,,True,"The three-dimensional analogue of a pixel; a volume element representing some numerical quantity, such as the colour, of a point in three-dimensional space, used in the visualisation and analysis of t",
windowing,image,,,True,The windows of a building; fenestration.,
