word,group,scowl_pos,scowl_noun_size,wikt_noun,wikt_gloss,verdict
adc,abbreviation,,,False,Initialism of aide-de-camp and postnominal.,
asic,abbreviation,,,False,Acronym of application-specific integrated circuit.,
balun,rf,,,True,An electronic device for connecting a balanced transmission line to an unbalanced one.,
beamwidth,rf,,,True,The width (or the angle) of a beam of radiation,
bjt,abbreviation,,,False,Initialism of bipolar junction transistor.,
bootloader,digital,,,True,Alternative spelling of boot loader.,
cpld,abbreviation,,,False,Initialism of complex programmable logic device.,
dac,abbreviation,,,False,Acronym of digital-to-analog converter.,
daughterboard,pcb,,,True,A circuit board that is an extension of a motherboard or other card.,
debouncing,digital,,,False,,
demultiplexer,circuit block,,,True,A device or piece of software used to separate signals that were previously combined using a multiplexer.,
diac,component,,,False,,
dma,abbreviation,,,False,Initialism of Doctor of Musical Arts.,
dopant,semiconductor,,,True,"A substance added in small amounts to a pure material, such as semiconductor, to alter its original electrical or optical properties; a doping agent.",
eeprom,abbreviation,,,False,Electrically erasable programmable read-only memory.,
emc,abbreviation,,,False,Initialism of electromagnetic compatibility.,
emi,abbreviation,,,False,Initialism of electromagnetic interference.,
esd,abbreviation,,,False,Initialism of electrostatic discharge; static electricity.,
feedline,rf,,,True,Physical cabling that carries the radio signal to and from the aerial.,
flipflop,circuit block,,,True,Alternative form of flip-flop.,
fpga,abbreviation,,,False,Initialism of field-programmable gate array.,
gpio,abbreviation,,,False,"Initialism of general-purpose input/output, a pin on an integrated circuit whose behavior can be controlled by the user at run time.",
heatsink,component,,,True,Alternative spelling of heat sink.,
igbt,abbreviation,,,False,Initialism of insulated-gate bipolar transistor.,
jfet,abbreviation,,,False,Initialism of junction field effect transistor.,
jtag,abbreviation,,,False,,
lcd,abbreviation,,,False,Initialism of liquid crystal display.,
led,abbreviation,,,False,Initialism of light-emitting diode.,
megohmmeter,measurement,,,True,"An instrument that measures extremely high resistances, in megaohms.",
memristor,component,,,True,A passive electrical element in which the electrical resistance is proportional to the integral of the electrical current between the terminals.,
microcontroller,digital,,,True,"A microcomputer on a single chip, used to control some device such as an automobile engine or a toy.",
milliamp,unit,,,True,One thousandth (10⁻³) of an ampere. Symbol: mA.,
monopole,rf,,,True,An appellation owned by a single winery.,
mosfet,abbreviation,,,False,Acronym of metal oxide semiconductor field-effect transistor.,
multimeter,measurement,,,True,"An electronic measuring instrument that combines multiple functions; a combined voltmeter, ammeter and ohmmeter.",
netlist,pcb,,,True,A technical description of the connectivity of an electronic design.,
oled,abbreviation,,,False,Acronym of organic light-emitting diode.,
optocoupler,component,,,True,An optoisolator.,
optoisolator,component,,,True,A device that transmits a signal optically between two isolated electronic circuits,
passivation,semiconductor,,,True,The process of making a material passive (non-reactive) in relation to another material prior to using the materials together.,
pcb,abbreviation,,,False,Initialism of printed circuit board.,
photodiode,component,,,True,A semiconductor two-terminal component whose electrical characteristics are light-sensitive.,
photoresist,semiconductor,,,True,A light-sensitive film used in photolithography and photoengraving.,
photoresistor,component,,,True,An electronic component whose resistance is inversely proportional to the intensity of incident light.,
polysilicon,semiconductor,,,True,"Polycrystalline silicon: A polycrystalline form of silicon used in some solid-state devices, especially solar cells.",
pwm,abbreviation,,,False,Initialism of pulsewidth modulation.,
reflow,pcb,v:1,,True,A flowing back again.,
rom,abbreviation,,,False,Acronym of read-only memory.,
scr,abbreviation,,,False,Initialism of silicon controlled rectifier.,
sidelobe,rf,,,True,The part of an antenna response pattern which is not contained in the main beam,
smd,abbreviation,,,False,Initialism of Sega Mega Drive.,
smt,abbreviation,,,False,Initialism of surface-mount technology.,
snubber,circuit block,,,True,"A device used to suppress (""snub"") voltage transients in electrical systems, pressure transients in fluid systems, or excess force or rapid movement in mechanical systems.",
soldermask,pcb,,,False,,
spi,abbreviation,,,False,Initialism of single-point interchange.,
sram,abbreviation,,,False,Static random access memory.,
stripboard,pcb,,,True,"A type of prototyping board characterized by a ⅒″ regular rectangular grid of holes, with wide parallel strips of copper cladding running in one direction all the way across one side of the board.",
supercapacitor,component,,,True,Any of several types of capacitor that have an unusually high capacitance,
susceptance,phenomenon,,,True,the imaginary component of the admittance of an alternating current circuit,
switchgear,power,,,True,"A device used to control, meter, protect, and regulate electronics as part of electricity generation, transmission, and distribution.",
triac,component,,,True,A three-terminal electronic component that conducts current in either direction when triggered; a bidirectional triode thyristor.,
uart,abbreviation,,,False,Acronym of universal asynchronous receiver transmitter.,
ultracapacitor,component,,,True,A supercapacitor.,
varactor,component,,,True,A solid-state diode whose capacitance varies with the applied voltage.,
veroboard,pcb,,,False,,
