word,zipf,first_gloss
biometric,2.99,A metric that measures a biologic characteristic.
convo,2.99,A conversation.
collab,2.97,"A collaboration, especially a work produced by several musicians who do not usually work together."
commenter,2.96,One who comments.
nitrous,2.96,Nitrous oxide.
uninstall,2.95,An uninstallation process.
lightsaber,2.95,A sword having a blade made of a powerful beam of light or energy.
croc,2.95,A crocodile.
geriatric,2.95,An old person.
butthole,2.94,The anus.
photoshoot,2.93,A session in which a photographer takes a number of photographs of a person or group of people.
config,2.93,Configuration.
southside,2.93,"The southern side of a building, street, city, area, etc."
satoshi,2.92,A hundred-millionth (10⁻⁸) of a bitcoin; the same as 10 nanocoins (nBTC) or 10⁻⁸ BTC.
setlist,2.91,A list of the songs to be played by a particular band or musical act for a particular show or tour.
treehouse,2.91,"A house, or similar structure within a tree, or several trees, built with light materials."
refinancing,2.91,One or more loans or other borrowings that repay and replace previous financings.
woodhouse,2.91,A house or shed for storing (chopped) wood
shemale,2.9,A male-to-female transsexual or transgender person; a trans woman.
rebrand,2.89,"A change to the brand name, logo, or image of a product or company."
asymptomatic,2.89,A person or an animal that exhibits no symptoms of disease.
kryptonite,2.89,The one weakness of something or someone that is otherwise invulnerable.
mecha,2.89,"A large armoured robot on legs, typically controlled by a pilot seated inside."
douchebag,2.89,A sterile container for holding fluid used in a vaginal douche.
resupply,2.88,The act of supplying again.
punisher,2.87,One who punishes.
homeschool,2.85,"A school within a private domestic place, rather than in a public facility or private institution."
biennale,2.85,A biennial celebration or exhibition
salesforce,2.85,A team of salespeople.
overthinking,2.85,The act of thinking too much about something.
walkie,2.85,A walkie-talkie.
shitload,2.84,A large amount.
katana,2.83,"A type of Japanese longsword, having a single edge and slight curvature, historically used by samurai and ninja."
fanart,2.83,Artwork created unofficially by fans of a media work and based on that work.
eastside,2.83,The east side of a district or city.
girlie,2.83,A magazine targeting an adult male audience and containing nude or seminude photographs of women.
dipshit,2.83,"A stupid, obnoxious, or undesirable person."
okada,2.83,A motorcycle taxi.
receivable,2.82,"A debt owed, usually to a business, from the perspective of that business."
dancehall,2.81,A public hall for dancing.
beastie,2.81,"Beast, animal."
walkthrough,2.8,"A tour of a space, such as a property for sale or rent."
redistricting,2.8,An instance of adjusting the borders that delineate districts.
kevlar,2.79,"(Fabric, cordage, etc made of) aramid fiber, an exceptionally strong, light, man-made fibre used to strengthen cables and sheet materials, e.g. in stab-resistant vests."
gelato,2.78,"An Italian variant of ice cream made from milk and sugar, combined with other flavourings. The ingredients are supercooled while stirring to break up ice crystals as they form."
eyewear,2.78,"A vision aid or similar device worn over the eyes, such as eyeglasses, contact lenses, or protective goggles."
sativa,2.78,"Cannabis sativa, a widely consumed form of cannabis."
interstitial,2.78,"A web page, usually carrying advertising, displayed when leaving one content page for another."
joshi,2.78,Japanese women's professional wrestling
ronin,2.77,A masterless samurai (who often becomes a mercenary to make ends meet).
twerking,2.77,"A sexually-provocative dance, involving the performer thrusting their hips back from a low squatting stance and shaking their buttocks."
fuckery,2.77,"Nonsense, bullshit, or underhanded trickery."
keychain,2.76,A chain or ring to which a key may be attached.
licensure,2.76,The act of conferring a license for an activity.
northside,2.76,"The northern side of a building, street, area etc."
vidya,2.76,Video games.
stormwater,2.72,"Water that is not absorbed into soil and rapidly flows downstream, increasing the level of waterways. In some municipal systems it intermixes with wastewater, increasing the volume of the latter."
futsal,2.71,"A form of soccer played indoors, with five players per team."
phish,2.71,A phishing attack.
passcode,2.7,A string of characters used for authentication on a digital device.
chipset,2.7,"A group of integrated circuits that are designed to work together, and are usually marketed as a single product."
bento,2.7,"A Japanese takeaway lunch served in a box, often with the food arranged into an elaborate design."
