word,zipf,n_senses,first_gloss
english,5.19,2,"Spinning or rotary motion given to a ball around the vertical axis, as in pool, billiards or bowling; spin, sidespin."
garnett,2.99,1,A machine that reduces textile fibre waste to a fibrous state in preparation for carding
waterhouse,2.99,1,A house on floats.
dougie,2.99,1,A hip-hop dance generally performed by moving one's body in a shimmy style and passing a hand through or near the hair on one's own head.
atari,2.98,1,A move that threatens the immediate capture of one or more stones.
sapiens,2.97,1,A human being (Homo sapiens).
drury,2.97,4,"Love, especially sexual love; courtship, sex."
crewe,2.96,1,"A group of people, especially in Louisiana, who support a Mardi Gras float in parades, as well as other charity work."
herzog,2.96,1,A German duke.
fleur,2.96,1,fleur-de-lis
bertram,2.96,1,A flowering plant of species Anacyclus pyrethrum.
dhoni,2.95,1,"A handcrafted sailboat with a motor or lateen sails, resembling a dhow, that is used in the Maldives."
hardline,2.95,3,A retail product collection consisting primarily of hardware targeting the do-it-yourself customer.
boyer,2.95,1,A Flemish sloop with a castle at each end.
cleary,2.95,1,"A clear marble (sphere used in games), usually colored, but without decoration or design."
tilly,2.94,2,An extra product given to a customer at no additional charge; a lagniappe.
bevan,2.94,1,a bogan
katniss,2.94,1,"Sagittaria spp., herbaceous perennial flowering plants that grow in water."
chopin,2.94,1,A liquid unit of measure of almost half a pint.
modus,2.93,3,"The arrangement of, or mode of expressing, the terms of a contract or conveyance."
punta,2.93,1,A Garifuna style of festive music and dance.
camino,2.93,1,The route followed on a pilgrimage through Spain.
sarkar,2.92,5,An administrative unit used mostly in the Muslim states of South Asia.
langer,2.92,3,Fool; idiot; annoying or contemptible person (usually male).
starfleet,2.91,1,A fleet of starships; a space navy.
shang,2.91,1,A Chinese unit of land area equivalent to 15 mu or about one hectare.
malia,2.91,1,"A passerine bird endemic to Sulawesi, of species Malia grata."
crowder,2.91,2,One who crowds or pushes.
familia,2.9,2,"A household or religious community under one head, regarded as a unit."
wasserman,2.89,1,"A mythical sea monster, part man, thought to destroy ships."
pomona,2.89,1,A treatise on fruits.
barra,2.89,2,A barrow; a hand-pushed cart of the type commonly used in markets.
myron,2.88,1,chrism; myrrh
portia,2.88,1,"Thespesia populnea, a flowering plant of the mallow family, found especially in parts of India."
lumia,2.88,2,A certain pear-shaped citrus fruit.
madge,2.87,2,The barn owl.
hander,2.87,3,One who hands over or transmits; a conveyor in succession
woodside,2.86,1,The side of a wood; the land that borders a wood.
broderick,2.86,1,A thorough beating
razer,2.86,1,Someone who razes.
grundy,2.84,3,A narrow-minded person or group that is overly concerned with censoring or criticizing personal conduct.
veritas,2.84,1,"Truth, particularly of a transcendent character."
donner,2.84,1,One who dons (something).
winkler,2.84,1,One who finds and sells winkles.
popeye,2.83,2,Exophthalmia.
rainer,2.83,1,"That which rains, or dispenses something in a shower."
tillman,2.83,1,A man who tills the earth; a husbandman.
robocop,2.82,1,A cyborg police officer.
jacky,2.82,2,A sailor.
lanier,2.82,2,A leather thong.
ozzie,2.81,1,A hospital.
topshop,2.81,1,"A building found in parts of the English Midlands, having three storeys, the lower two serving as living accommodation and the upper floor as a workshop containing a weaver's loom."
pawnee,2.81,1,One or to whom a pledge is delivered as security one who takes anything in pawn.
tonya,2.81,1,"A trade broker in Japan, usually a wholesaler, warehouse manager, or shipment manager."
catwoman,2.81,1,A woman in a cat costume.
chucky,2.8,3,chicken
spooner,2.8,2,One who spoons; one who engages in spooning.
majid,2.79,1,Any of the family Majidae of sea spiders or spider crabs.
witcher,2.79,3,A dowser.
desai,2.79,1,"In west and south India, a native official in charge of a district, often held by heredity; a petty chief."
rapunzel,2.79,2,"A plant with leaves and crisp roots which have been used in salads, rampion, Campanula rapunculus."
rockland,2.79,1,A rocky landscape.
hoyer,2.79,1,"A device for transferring a person with serious mobility issues to and from the floor, a mobility device (such as a wheelchair), seating, and a bed."
auguste,2.79,1,"A kind of clown, usually serving as an anarchic foil to the whiteface."
bonham,2.79,1,A piglet.
ordinator,2.79,1,One who ordains or establishes; a director.
malkin,2.78,6,A (stereotypical name for a) lower-class or uncultured woman; a kitchenmaid; a slattern.
moser,2.78,1,An informer; one who tells on another.
ender,2.78,2,Something which ends another thing.
chubb,2.77,1,An erection of the penis.
baillie,2.77,2,The jurisdiction of a bailie or bailiff; a bailiwick.
megatron,2.77,1,"A disc-seal tube, used in lighthouses or submersibles."
parti,2.77,2,"The basic, central, or main concept, drawing, or scheme of an architectural design."
futurama,2.77,1,A palpable depiction of a (usually sensational) vision of the future.
chapo,2.76,1,chapati (food)
hillman,2.76,3,A native or inhabitant of hilly or mountainous country; a tribesman who lives in the mountains.
cartman,2.76,2,A person who transports goods or people by horse and cart; a carman.
tasking,2.76,1,A task; an assigned item of work.
jardin,2.75,1,The inclusions and fissures within an emerald.
hiller,2.75,1,A poor rural person.
spidey,2.75,1,A spider.
marla,2.75,3,Plasticine; modelling clay.
ghibli,2.74,1,sirocco
laine,2.74,1,an area of arable land at the foot of a hill
redstone,2.74,2,A type of versatile material used to create electrical circuits and mechanisms.
lexie,2.74,1,"A minimal unit of reading, such as a sentence or sentence fragment"
coker,2.74,3,The industrial plant in which coke is manufactured
winehouse,2.73,3,The building on a vineyard in which the winepress is located.
starcraft,2.73,2,"The art of interpreting or reading the stars, astrology."
twisty,2.73,3,"Something that is twisty, such as a road"
fishman,2.73,1,A man who sells fish.
boardman,2.73,1,A person who wears a sandwich board.
bridger,2.7,3,One who builds bridges
lazer,2.7,2,One who lazes.
hardman,2.7,2,A man who is particularly tough or muscular
haymarket,2.7,1,A market that sells hay as animal fodder.
keeler,2.69,3,One who works on a barge or keel.
brough,2.69,1,"A halo or luminous disk or ring seen around the sun or moon, and in folklore considered to portend a rainstorm."
indio,2.69,1,"A member of one of various indigenous peoples in the Americas, Pacific, and East Asia formerly subject to Spain or Portugal, specifically a Native American in Mexico or Brazil, or an indigenous inhabi"
wagga,2.69,1,"A rug created from material scraps, small raw wool scraps and hessian bags."
arran,2.69,1,spider
quinton,2.69,1,A type of violin that had five strings
batgirl,2.68,1,The female equivalent of a batboy.
spyder,2.68,2,"A lightweight, open-topped horse-drawn carriage."
airtel,2.68,1,"A form of communication formerly used within the FBI, indicating a letter that had to be typed and mailed on the same day."
spina,2.67,3,A spine; the backbone.
chesney,2.67,1,An indentation in the slate of a table that affects the path of a ball travelling over it
pullin,2.67,1,poultry
materia,2.66,1,"The physical substances which create the natural world: matter, materials, substance, etc."
ripon,2.66,1,A spur (goad for a horse etc.).
sault,2.65,3,Assault.
esperanza,2.65,1,yellow bells (Tecoma stans)
kemper,2.64,1,"One who kemps, or strives, for superiority; a champion or knight-errant."
lightroom,2.64,2,"A small room from which the magazine of a naval vessel is lighted, being separated from the magazine by heavy glass windows."
sturt,2.64,3,"In an embryo, an angle equal to two gons. If a mosaic forms in the embryo, the line passes between two organs with a probability, in percent, equal to the number of sturts between them."
embiid,2.64,1,Any of the webspinners of the family Embiidae.
capitan,2.64,1,Captain (in Spanish-speaking contexts).
sweetwater,2.64,4,"A variety of white grape, better known as Chasselas."
peele,2.63,1,"A kind of antelope, the rhebok, Pelea capreolus."
elven,2.63,2,"Originally, a female elf, a fairy, a nymph; (by extension) any elf."
tasker,2.63,3,One who imposes a task.
amira,2.62,1,A member of a wealthy class of Armenian grandees in Constantinople which was in charge of national Armenian matters in the Ottoman Empire before the Armenian National Constitution of 1860 was adopted.
bandar,2.62,1,A rhesus macaque.
redraw,2.62,2,An update to the screen display.
moria,2.62,1,Excessive frivolity; an inability to be serious.
highgate,2.62,1,A highway.
martel,2.61,1,"A hammer, especially a war hammer."
kenner,2.61,1,One who kens or knows.
trainor,2.61,1,"A person who trains another; a coach, a trainer."
ronson,2.61,1,M4 Sherman tank - due to the proclivity of Shermans to burst into flames from a single hit
huerta,2.61,1,The area of Murcia and Valencia with fertile ground.
hummel,2.61,2,A stag that has failed to grow antlers; a cow that has not developed horns.
gronk,2.6,4,An unintelligent and callous person.
surry,2.6,1,Friend
blatter,2.6,3,Blather; foolish talk.
bulger,2.6,3,Something that has a bulge.
croker,2.6,2,Burlap.
tahrir,2.6,1,a type of vocal ornamentation; especially the variant used in the Near and Middle East
stillman,2.6,1,The person who operates a still (device for distilling liquids).
rutter,2.6,5,"A horseman or cavalryman, especially a German one, associated with the wars of the 16th and 17th centuries."
cleve,2.59,3,A room; chamber.
chula,2.59,1,"A hearth, stove, or other traditional cooking-place."
logie,2.59,1,"A piece of fake jewellery, typically made from zinc."
prosser,2.58,1,One who prosses; a sponger or scrounger.
sunnyside,2.58,1,The top of a cooked egg.
ovate,2.58,4,An egg-shaped hand axe.
marcella,2.58,1,"A kind of corded or ribbed fabric made from cotton, rayon, or silk."
crandall,2.58,1,"A kind of hammer having a head formed of a group of pointed steel bars, used for dressing ashlar, etc."
woolsey,2.58,1,A material made of cotton and wool.
hodder,2.58,1,A coal miner who hauls hods from the workface
droll,2.58,2,"A funny person; a buffoon, a wag."
hocus,2.57,4,"A magician, illusionist, one who practises sleight of hand."
buller,2.57,3,The bubbling or seething of a torrent.
blitzer,2.57,1,One engaging in a blitz.
missa,2.57,1,"a mass, in the sense of a composition setting several sung parts of the liturgical service (most often chosen from the ordinary parts Kyrie, Gloria, Credo, Agnus Dei and/or Sanctus) to music, notably "
hsien,2.57,1,"An administrative subdivision of Taiwan, commonly translated as county. (Alternative form of xian for mainland China.)"
scudder,2.56,2,"One who, or that which, scuds."
bhagat,2.56,1,A holy man in Sikhism or Hinduism.
chewie,2.56,2,Chewing gum.
messin,2.56,1,A mongrel dog; a cur.
hasta,2.56,2,A hand gesture used to depict the meaning of a song
modena,2.56,1,A crimson colour.
kaboom,2.56,2,"The sound of an explosion, typically seen in comic strips or heard in a light-hearted conversation."
loring,2.56,1,Instructive discourse; instruction; teaching.
taiji,2.55,3,The absolute; the condition as it existed before the creation of the world.
mahone,2.55,1,A large Turkish warship.
ashoka,2.55,2,"A tree of species Saraca asoca, native to South Asia and western Myanmar."
quinta,2.55,1,A country house in Madeira.
whitten,2.55,1,Any of several small trees having leaves that are white and downy underneath.
hillcrest,2.55,1,The crest of a hill
superboy,2.55,1,"A very remarkable, talented or otherwise exceptional boy."
nizam,2.55,2,"The hereditary sovereign of Hyderabad, a former state of India."
courant,2.55,4,A piece of music in triple time.
hammy,2.55,3,The hamstring.
anker,2.54,1,A measure of wine or spirit equal to 10 gallons; a barrel of this capacity.
burnie,2.54,1,A small brook.
queenie,2.54,2,An effeminate man; a male homosexual (especially as a term of address).
thalia,2.54,1,Any of the genus Thalia of tropical plants found in aquatic or marshy habitats.
deliberative,2.53,2,"A discourse in which a question is discussed, or weighed and examined."
wayback,2.53,3,A very remote time or place.
carle,2.53,1,peasant; fellow
simran,2.53,1,"The continuous remembrance of the finest aspect of the self, or of God, sometimes achieved by repeating a mantra."
cavan,2.53,3,A unit of dry capacity approximately equivalent to 2.3 US bushels.
rimmer,2.53,4,"An implement for cutting, trimming, or ornamenting the rim of anything, as the edges of pies, etc."
