word,zipf,countable,uncountable,n_senses,first_gloss
and,7.41,0,0,3,"In rhythm, the second half of a divided beat."
that,7.01,0,0,1,Something being indicated that is there; one of those.
you,6.98,0,0,1,The name of the Latin script letter U/u.
it,6.95,0,0,9,One who is neither a he nor a she; a creature; a dehumanized being.
this,6.82,0,0,1,Something being indicated that is here; one of these.
but,6.63,0,0,4,"An instance of using the word ""but""; an objection or caveat."
or,6.54,1,1,2,Alternative form of OR.
an,6.53,0,0,1,"The first letter of the Georgian alphabet, ა (Mkhedruli), Ⴀ (Asomtavruli) or ⴀ (Nuskhuri)."
all,6.52,1,1,3,Everything that one is capable of.
they,6.5,0,0,1,A non-binary person.
me,6.48,0,0,2,"The self or personality of the speaker, especially their authentic self."
if,6.47,0,0,1,"An uncertainty, possibility, condition, doubt etc."
up,6.39,1,1,4,The direction opposed to the pull of gravity.
what,6.38,1,1,3,Something; thing; stuff.
who,6.34,0,0,1,A person under discussion; a question of which person.
her,6.3,0,0,1,A female person or animal.
she,6.26,0,0,1,A female.
how,6.24,0,0,3,The means by which something is accomplished.
them,6.19,0,0,1,Synonym of they (“a non-binary person”).
other,6.16,0,0,2,"An other, another (person, etc), more often rendered as another."
him,6.11,0,0,1,A male person or animal.
us,6.04,0,0,2,The relationship between the speaker and some other unspecified person.
where,6.0,0,0,1,The place in which something happens.
many,5.91,0,0,2,A multitude; a great aggregate; a mass of people; the generality; the common herd.
such,5.84,0,0,1,Something being indicated that is similar to something else.
something,5.81,0,0,2,An object whose nature is yet to be defined.
long,5.81,0,0,9,A long vowel.
each,5.69,0,0,1,An individual item: the least quantitative unit in a grouping.
doing,5.6,1,1,1,"A deed or action, especially when somebody is held responsible for it."
anything,5.55,0,0,1,Someone or something of importance.
oh,5.43,0,0,3,"An utterance of oh; a spoken expression of surprise, acknowledgement, etc."
known,5.39,0,0,2,Any fact or situation which is known or familiar.
international,5.36,0,0,3,Someone who has represented their country in a particular sport.
comes,5.36,0,0,1,"The answer to the theme, or dux, in a fugue."
de,5.23,0,0,1,The name of the Cyrillic script letter Д / д.
st,5.2,0,0,5,Alternative form of st. and St.; abbreviation of street.
english,5.19,0,1,2,"Spinning or rotary motion given to a ball around the vertical axis, as in pool, billiards or bowling; spin, sidespin."
whatever,5.14,0,0,2,A thing or person whose actual name is unknown or forgotten.
federal,5.13,0,0,4,A federal agent or (chiefly law-enforcement) official.
cannot,5.11,0,0,2,Something that cannot be done.
lol,5.05,0,0,1,Alternative letter-case form of LOL.
via,5.02,0,0,3,"A main road or highway, especially in ancient Rome. (Mainly used in set phrases, below.)"
san,4.97,0,0,2,"An Ancient Greek letter representing /s/ (uppercase Ϻ, lowercase ϻ), originally used in some dialects instead of sigma."
wide,4.96,0,0,1,A ball that passes so far from the batsman that the umpire deems it unplayable; the arm signal used by an umpire to signal a wide; the extra run added to the batting side's score
german,4.95,0,0,3,A near relative.
pre,4.95,1,1,4,Clipping of predrinks.
physical,4.94,0,0,2,A physical examination.
responsible,4.88,0,0,2,The person who bears the responsibility for something.
northern,4.85,0,0,3,An inhabitant of the northern regions; a northerner.
sexual,4.82,0,0,2,"A species which reproduces by sexual rather than asexual reproduction, or a member of such a species."
ed,4.79,1,1,3,edition
joe,4.78,1,1,5,A male; a guy; a fellow.
nor,4.78,0,0,1,Alternative form of NOR.
regional,4.72,0,0,1,An entity or event with scope limited to a single region.
warm,4.71,0,0,1,"The act of warming, or the state of being warmed; a heating."
steve,4.71,0,0,1,Alternative form of STEVE.
industrial,4.71,1,1,6,An employee in industry.
illegal,4.68,0,0,4,An illegal act or technique.
stuck,4.68,0,0,1,"A thrust, especially with a lance or sword."
ya,4.67,0,0,1,"A letter of the Cyrillic alphabet: Я, я."
sam,4.64,0,0,1,Federal narcotics agent.
tony,4.64,0,0,1,A simpleton.
affected,4.64,0,0,1,"Someone affected, as by a disease."
ah,4.63,0,0,1,An instance of the interjection ah.
jim,4.62,0,0,3,A one-pound banknote.
daniel,4.62,0,0,1,The buttocks.
un,4.62,0,0,1,Alternative spelling of 'un.
fail,4.61,1,1,5,"A failure, especially of a financial transaction (a termination of an action)."
creative,4.6,1,1,2,A person directly involved in a creative process; a creator of creative content.
rural,4.59,0,0,1,A person from the countryside; a rustic.
kim,4.59,0,1,1,Alternative form of gim (“edible seaweed”).
ha,4.58,0,0,1,The sum of bodily parts; the physical body.
ve,4.56,0,0,1,The name of the Cyrillic script letter В / в.
dc,4.56,0,0,2,Initialism of direct current.
brilliant,4.55,1,1,4,"A finely cut gemstone, especially a diamond, cut in a particular form with numerous facets so as to maximize light return through the top (called ""table"") of the stone."
da,4.54,0,1,2,Father.
hong,4.53,0,0,1,A foreign trading company in China.
clinical,4.51,0,0,1,A medical student's session spent in a real-world nursing environment.
jan,4.51,0,0,1,Obsolete form of jinn.
dan,4.51,0,0,7,"A title of honour or respect similar to ""master"" or ""Sir"", used of historical and legendary figures of the past."
visual,4.5,0,0,5,Any element of something that depends on sight.
eric,4.49,0,0,1,A fine paid as compensation for violent crimes.
kong,4.49,0,0,2,A set of four identical tiles.
bc,4.49,0,0,3,Abbreviation of basso continuo.
practical,4.48,0,0,4,A part of an exam or series of exams in which the candidate has to demonstrate their practical ability
alan,4.45,0,0,1,Alternative form of alaunt.
