noun,zipf,tier,senses,lexfile,register,domain,in_wn30,also_proper_noun,recommended,excluded_because,definition
much,6.0,CORE,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a great amount or extent
am,5.78,CORE,1,noun.time,GENERAL,,False,True,False,not in Wiktionary,the period between midnight and noon
few,5.6,CORE,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,a small elite group
d,5.46,CORE,1,noun.communication,GENERAL,,False,True,False,not in Wiktionary,the 4th letter of the Roman alphabet
lost,5.39,CORE,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are destined to die soon
b,5.35,CORE,2,noun.quantity,TEC,nuclear physics,False,True,False,not in Wiktionary,(physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter
r,5.35,CORE,2,noun.communication,GENERAL,,False,True,False,not in Wiktionary,the 18th letter of the Roman alphabet
million,5.33,CORE,2,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the number that is represented as a one followed by 6 zeros
x,5.2,CORE,1,noun.communication,GENERAL,,False,True,False,not in Wiktionary,the 24th letter of the Roman alphabet
leaving,4.98,COMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of departing
billion,4.75,COMMON,3,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen
thousand,4.64,COMMON,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the cardinal number that is the product of 10 and 100
chosen,4.61,COMMON,2,noun.person,GENERAL,,True,True,False,not in Wiktionary,one who is the object of choice; who is given preference
causing,4.53,COMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of causing something to happen
z,4.47,COMMON,1,noun.communication,GENERAL,,False,True,False,not in Wiktionary,the 26th letter of the Roman alphabet
km,4.37,COMMON,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a metric unit of length equal to 1000 meters (or 0.621371 miles)
cd,4.36,COMMON,1,noun.quantity,GENERAL,,True,True,False,not in Wiktionary,"the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin"
reducing,4.36,COMMON,2,noun.process,GENERAL,,True,False,False,not in Wiktionary,any process in which electrons are added to an atom or ion (as by removing oxygen or adding hydrogen); always occurs accompanied by oxidation of the reducing agent
wounded,4.32,COMMON,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are wounded
cm,4.27,COMMON,1,noun.quantity,GENERAL,,True,True,False,not in Wiktionary,a metric unit of length equal to one hundredth of a meter
defeated,4.17,COMMON,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are defeated
replacing,4.15,COMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of furnishing an equivalent person or thing in the place of another
comparing,4.13,COMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of examining resemblances
governing,4.12,COMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of governing; exercising authority
nowadays,4.11,COMMON,1,noun.time,GENERAL,,True,False,False,not in Wiktionary,the period of time that is happening now; any continuous stretch of time including the moment of speech
investigating,4.08,COMMON,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the work of inquiring into something thoroughly and systematically
kg,4.08,COMMON,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites
sr,4.03,COMMON,1,noun.quantity,GENERAL,,True,True,False,not in Wiktionary,the unit of solid angle adopted under the Systeme International d'Unites
solving,3.99,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,finding a solution to a problem
expose,3.98,FAMILIAR,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,the exposure of an impostor or a fraud
defining,3.96,FAMILIAR,1,noun.process,GENERAL,,True,False,False,not in Wiktionary,any process serving to define the shape of something
sixteen,3.95,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the cardinal number that is the sum of fifteen and one
troy,3.95,FAMILIAR,1,noun.quantity,GENERAL,,True,True,False,not in Wiktionary,a system of weights used for precious metals and gemstones; based on a 12-ounce pound and an ounce of 480 grains
pursued,3.89,FAMILIAR,1,noun.person,GENERAL,,True,False,False,not in Wiktionary,a person who is being chased
dm,3.88,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a metric unit of length equal to one tenth of a meter
damned,3.87,FAMILIAR,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are condemned to eternal punishment
seventeen,3.87,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the cardinal number that is the sum of sixteen and one
atm,3.85,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a unit of pressure: the pressure that will support a column of mercury 760 mm high at sea level and 0 degrees centigrade
cl,3.85,FAMILIAR,1,noun.quantity,GENERAL,,True,True,False,not in Wiktionary,a metric unit of volume equal to one hundredth of a liter
governed,3.85,FAMILIAR,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,the body of people who are citizens of a particular government
ira,3.84,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)
hm,3.82,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a metric unit of length equal to 100 meters
eighteen,3.81,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the cardinal number that is the sum of seventeen and one
acquiring,3.8,FAMILIAR,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of acquiring something
cautious,3.79,FAMILIAR,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who are fearful and cautious
seventy,3.78,FAMILIAR,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the cardinal number that is the product of ten and seven
communicating,3.77,FAMILIAR,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,the activity of communicating; the activity of conveying information
