variant,canonical,wikt_variant_kind,wikt_regions,zipf,tier
abamp,abampere,alt_of,,0.0,OBSCURE
abattis,abatis,alt_of,,0.0,OBSCURE
abetter,abettor,alt_of,,1.19,RARE
ablism,ableism,alt_of,,0.0,OBSCURE
aboulia,abulia,alt_of,,0.0,OBSCURE
abridgement,abridgment,alt_of,UK,1.94,RARE
absinth,absinthe,alt_of,,1.26,RARE
absolutisation,absolutization,alt_of,,0.0,OBSCURE
abstractor,abstracter,alt_of,UK,0.0,OBSCURE
academism,academicism,alt_of,,0.0,OBSCURE
acariosis,acariasis,alt_of,,0.0,OBSCURE
accompanyist,accompanist,alt_of,,0.0,OBSCURE
accouterment,accoutrement,american,,0.0,OBSCURE
acetanilid,acetanilide,alt_of,,0.0,OBSCURE
acknowledgement,acknowledgment,alt_of,UK,3.32,FAMILIAR
acroanesthesia,acroanaesthesia,alt_of,,0.0,OBSCURE
acromegalia,acromegaly,alt_of,,0.0,OBSCURE
acromikria,acromicria,alt_of,,0.0,OBSCURE
actualisation,actualization,alt_of,,1.61,RARE
adactylia,adactyly,alt_of,,0.0,OBSCURE
adaption,adaptation,alt_of,,2.73,UNCOMMON
adaptor,adapter,alt_of,Commonwealth,2.64,UNCOMMON
adjustor,adjuster,alt_of,,1.43,RARE
advertizement,advertisement,alt_of,,0.0,OBSCURE
adz,adze,alt_of,US,1.72,RARE
aegir,eagre,alt_of,,1.56,RARE
aeon,eon,commonwealth,,2.64,UNCOMMON
aerie,eyrie,alt_of,US,2.17,UNCOMMON
aerofoil,airfoil,alt_of,UK,1.77,RARE
aerogramme,aerogram,alt_of,,0.0,OBSCURE
aery,eyrie,dated,,1.43,RARE
aesthesis,esthesis,alt_of,,0.0,OBSCURE
aether,ether,alt_of,,2.74,UNCOMMON
affaire,affair,alt_of,,2.21,UNCOMMON
aggrandisement,aggrandizement,alt_of,UK,1.72,RARE
aglet,aiglet,alt_of,,1.32,RARE
aigret,aigrette,alt_of,,0.0,OBSCURE
airdrome,aerodrome,alt_of,,1.51,RARE
akee,ackee,alt_of,,0.0,OBSCURE
akvavit,aquavit,alt_of,,1.01,RARE
alcahest,alkahest,alt_of,,0.0,OBSCURE
alcapton,alkapton,alt_of,,0.0,OBSCURE
alcaptonuria,alkaptonuria,alt_of,,0.0,OBSCURE
alfileria,alfilaria,alt_of,,0.0,OBSCURE
algorism,algorithm,alt_of,,0.0,OBSCURE
alidad,alidade,alt_of,,0.0,OBSCURE
alinement,alignment,alt_of,US,0.0,OBSCURE
alizarine,alizarin,alt_of,,0.0,OBSCURE
allegoriser,allegorizer,alt_of,,0.0,OBSCURE
alphabetisation,alphabetization,alt_of,UK,0.0,OBSCURE
alphabetiser,alphabetizer,alt_of,UK,0.0,OBSCURE
aluminum,aluminium,american,,4.01,COMMON
ambience,ambiance,alt_of,,2.94,UNCOMMON
ameba,amoeba,alt_of,US,1.58,RARE
amebiasis,amoebiasis,alt_of,,1.07,RARE
ameer,emir,alt_of,,2.48,UNCOMMON
amenorrhea,amenorrhoea,alt_of,US,1.86,RARE
amir,emir,alt_of,,3.4,FAMILIAR
amortisation,amortization,alt_of,UK,1.92,RARE
amphitheater,amphitheatre,american,,2.8,UNCOMMON
ampul,ampoule,alt_of,US,0.0,OBSCURE
ampule,ampoule,alt_of,,1.61,RARE
amyotrophia,amyotrophy,alt_of,,0.0,OBSCURE
anaemia,anemia,alt_of,Commonwealth,2.51,UNCOMMON
anaesthesia,anesthesia,alt_of,Commonwealth,2.71,UNCOMMON
anaesthetic,anesthetic,alt_of,Commonwealth,2.93,UNCOMMON
anaesthetist,anesthetist,alt_of,UK,2.23,UNCOMMON
analogue,analog,alt_of,,3.28,FAMILIAR
analyser,analyzer,alt_of,UK,2.19,UNCOMMON
anapaest,anapest,alt_of,UK,0.0,OBSCURE
anathematisation,anathematization,alt_of,,0.0,OBSCURE
anchylosis,ankylosis,alt_of,,0.0,OBSCURE
aneurism,aneurysm,dated,,2.17,UNCOMMON
anhydrosis,anhidrosis,alt_of,,0.0,OBSCURE
animalisation,animalization,alt_of,,0.0,OBSCURE
annexe,annex,alt_of,UK,2.51,UNCOMMON
anoestrus,anestrus,alt_of,,0.0,OBSCURE
anomy,anomie,alt_of,,0.0,OBSCURE
anthelminthic,anthelmintic,alt_of,,0.0,OBSCURE
aphaeresis,apheresis,alt_of,Canada;UK,0.0,OBSCURE
apophthegm,apothegm,alt_of,UK,0.0,OBSCURE
appanage,apanage,alt_of,,1.49,RARE
appetiser,appetizer,alt_of,,1.61,RARE
