variant,canonical,verdict,note,variant_pos,variant_lemma,wikt_variant_kind,zipf,tier
birthing,berthing,spelling_pair,,NOUN,birthing,alt_of,2.94,UNCOMMON
centring,centering,spelling_pair,,VERB,centre,alt_of,2.23,UNCOMMON
coding,coding,spelling_pair,,NOUN;VERB,coding,alt_of,3.81,FAMILIAR
colouring,coloring,spelling_pair,,VERB,colour,alt_of,3.22,FAMILIAR
combing,coaming,spelling_pair,,VERB,comb,alt_of,3.0,FAMILIAR
counselling,counseling,spelling_pair,,NOUN;VERB,counselling,alt_of,3.45,FAMILIAR
dubbing,dubbin,verb,,VERB,dub,alt_of,2.77,UNCOMMON
earring,earing,spelling_pair,,NOUN,earring,alt_of,3.08,FAMILIAR
faggoting,fagoting,spelling_pair,,VERB,faggot,alt_of,0.0,OBSCURE
flavouring,flavoring,spelling_pair,,NOUN,flavouring,british,2.36,UNCOMMON
fledgeling,fledgling,spelling_pair,,NOUN,fledgeling,alt_of,1.37,RARE
focussing,focusing,spelling_pair,,VERB,focus,commonwealth,2.81,UNCOMMON
fuelling,fueling,spelling_pair,,VERB,fuel,uk,2.59,UNCOMMON
gloam,gloaming,noise,,,,alt_of,0.0,OBSCURE
highjacking,hijacking,spelling_pair,,VERB,highjack,alt_of,1.05,RARE
king,qing,verb,,NOUN;VERB,king,alt_of,5.17,CORE
lightening,lightning,spelling_pair,,VERB,lighten,alt_of,3.04,FAMILIAR
lightning,lightening,spelling_pair,,NOUN;VERB,lightning,alt_of,4.22,COMMON
ling,linguistics,noise,,,,alt_of,3.51,FAMILIAR
mg,meaning,noise,,,,alt_of,4.12,COMMON
modelling,modeling,spelling_pair,,NOUN;VERB,modelling,commonwealth,3.7,FAMILIAR
moulding,molding,spelling_pair,,NOUN;VERB,moulding,alt_of,2.86,UNCOMMON
nurseling,nursling,spelling_pair,,,,alt_of,0.0,OBSCURE
packing,meatpacking,verb,,NOUN;VERB,packing,alt_of,4.06,COMMON
paneling,panelling,spelling_pair,,NOUN,paneling,alt_of,2.6,UNCOMMON
parceling,parcelling,spelling_pair,,VERB,parcel,alt_of,1.34,RARE
pargetting,pargeting,spelling_pair,,,,alt_of,0.0,OBSCURE
plowing,ploughing,verb,,VERB,plow,alt_of,2.88,UNCOMMON
rattling,ratline,verb,,ADJ;ADV;NOUN;VERB,rattling,alt_of,3.2,FAMILIAR
raveling,ravelling,spelling_pair,,VERB,ravel,alt_of,1.42,RARE
ridgling,ridgeling,spelling_pair,,,,alt_of,0.0,OBSCURE
savouring,savoring,spelling_pair,,VERB,savour,alt_of,2.1,UNCOMMON
shilling,schilling,spelling_pair,,NOUN,shilling,alt_of,3.17,FAMILIAR
sniveling,snivelling,spelling_pair,,VERB,snivel,alt_of,2.13,UNCOMMON
socialising,socializing,spelling_pair,,VERB,socialise,alt_of,2.58,UNCOMMON
tat,tatting,noise,,,,alt_of,3.35,FAMILIAR
thing,ting,spelling_pair,,NOUN,thing,alt_of,5.72,CORE
toweling,towelling,spelling_pair,,VERB,towel,alt_of,1.5,RARE
vaporing,vapouring,spelling_pair,,VERB,vapor,alt_of,0.0,OBSCURE
wainscoting,wainscotting,spelling_pair,,,,alt_of,2.1,UNCOMMON
channeling,channelling,spelling_pair,,VERB,channel,alt_of,3.08,FAMILIAR
agonising,agonizing,spelling_pair,,VERB,agonise,alt_of,2.36,UNCOMMON
apologising,apologizing,spelling_pair,,VERB,apologise,alt_of,2.76,UNCOMMON
appraising,apprising,spelling_pair,,VERB,appraise,alt_of,2.23,UNCOMMON
apprizing,apprising,spelling_pair,,VERB,apprize,alt_of,0.0,OBSCURE
attitudinising,attitudinizing,spelling_pair,,VERB,attitudinise,alt_of,0.0,OBSCURE
backpedalling,backpedaling,spelling_pair,,VERB,backpedal,alt_of,1.33,RARE
