variant,canonical,verdict,variant_verdict,canonical_verdict,note,dist,plural_side,v_zipf,c_zipf,v_pos,c_pos,v_wikt,c_wikt,v_corpus,c_corpus,v_gloss,c_gloss
in,inch,unrelated,,,,2,,7.27,4.49,,,prep:21;adj:16;adv:5,noun:7;verb:4;adj:1,OTHER:27749,NOUN:39,"A position of power or influence, or a way to get it.",An English unit of length equal to 1/12 of a foot or 2.54 cm.
at,att,unrelated,,,,1,,6.7,3.22,,,prep:21;noun:2;pron:,noun:1;prep:1,OTHER:7106,OTHER:2,The at sign (@).,"A subdivision of currency, equal to one hundredth of a Lao kip."
do,hairdo,unrelated,,,,4,,6.35,2.72,,,verb:39;noun:9;adv:1,noun:2,OTHER:1713,,"A party, celebration, social function; usually of moderate size and fo",A hairstyle.
back,backstroke,unrelated,,,,4,,6.04,2.65,,,noun:25;verb:16;adv:,noun:3;verb:2,ADV:1125,,"The rear of the body, especially the part between the neck and the end",A backhanded stroke or blow.
year,here,unrelated,,,,3,,5.96,5.97,,,noun:13,adv:8;intj:5;noun:3;,NOUN:1450,ADV:848,A period of time akin to the time taken for the Earth to undergo a ful,This place; this location.
why,wye,unrelated,,,,2,,5.93,2.77,,,adv:6;noun:3;intj:1;,noun:2;verb:2,OTHER:449,,Reason.,The name of the Latin script letter Y/y.
s,scruple,unrelated,name,,,4,,5.86,1.89,,,noun:3;character:1;n,noun:5;verb:4,PROPN:34,,"Abbreviation of scruple, a unit of mass in the apothecaries' system.",Hesitation to act from the difficulty of determining what is right or 
better,bettor,unrelated,adj,,,1,,5.76,2.06,,,verb:5;adj:4;noun:2;,noun:1,ADJ:486,,"An entity, usually animate, deemed superior to another; one who has a ","A person who makes a bet, such as a wager on the outcome of a game of "
must,musth,unrelated,,,,1,,5.68,1.46,,,noun:5;verb:5,noun:2,OTHER:1095,,"Something that is mandatory, required or recommended.",Chiefly preceded by in or on: the state each year during which a male 
set,sett,unrelated,,,,1,,5.59,2.27,,,verb:49;noun:41;adj:,noun:8;verb:2,VERB:520,,A punch for setting nails in wood.,The system of tunnels that is the home of a badger.
